"date","PX_LAST","PUT_CALL_OPEN_INTEREST_RATIO","EQY_INST_PCT_SH_OUT","PX_VOLUME"
1993-01-19,86.33,NA,NA,NA
1993-01-20,86.19,NA,NA,NA
1993-01-21,86.35,NA,NA,NA
1993-01-22,86.22,NA,NA,NA
1993-01-23,NA,NA,NA,NA
1993-01-24,NA,NA,NA,NA
1993-01-25,86.89,NA,NA,NA
1993-01-26,87.65,NA,NA,NA
1993-01-27,87.52,NA,NA,NA
1993-01-28,87.43,NA,NA,NA
1993-01-29,87.67,NA,NA,NA
1993-01-30,NA,NA,NA,NA
1993-01-31,NA,NA,NA,NA
1993-02-01,88.05,NA,NA,NA
1993-02-02,88.45,NA,NA,NA
1993-02-03,89.33,NA,NA,NA
1993-02-04,91.1,NA,NA,NA
1993-02-05,93.2,NA,NA,NA
1993-02-06,NA,NA,NA,NA
1993-02-07,NA,NA,NA,NA
1993-02-08,92.94,NA,NA,NA
1993-02-09,92.22,NA,NA,NA
1993-02-10,92.3,NA,NA,NA
1993-02-11,92.97,NA,NA,NA
1993-02-12,91.98,NA,NA,NA
1993-02-13,NA,NA,NA,NA
1993-02-14,NA,NA,NA,NA
1993-02-16,89.27,NA,NA,NA
1993-02-17,89.18,NA,NA,NA
1993-02-18,88.53,NA,NA,NA
1993-02-19,88.71,NA,NA,NA
1993-02-20,NA,NA,NA,NA
1993-02-21,NA,NA,NA,NA
1993-02-22,89.14,NA,NA,NA
1993-02-23,89.15,NA,NA,NA
1993-02-24,89.34,NA,NA,NA
1993-02-25,88.91,NA,NA,NA
1993-02-26,88.6,NA,NA,NA
1993-02-27,NA,NA,NA,NA
1993-02-28,NA,NA,NA,NA
1993-03-01,87.39,NA,NA,NA
1993-03-02,88.6,NA,NA,NA
1993-03-03,89.17,NA,NA,NA
1993-03-04,88.86,NA,NA,NA
1993-03-05,89.12,NA,NA,NA
1993-03-06,NA,NA,NA,NA
1993-03-07,NA,NA,NA,NA
1993-03-08,91.64,NA,NA,NA
1993-03-09,91.72,NA,NA,NA
1993-03-10,91.44,NA,NA,NA
1993-03-11,90.51,NA,NA,NA
1993-03-12,89.15,NA,NA,NA
1993-03-13,NA,NA,NA,NA
1993-03-14,NA,NA,NA,NA
1993-03-15,89.84,NA,NA,NA
1993-03-16,89.49,NA,NA,NA
1993-03-17,88.78,NA,NA,NA
1993-03-18,89.76,NA,NA,NA
1993-03-19,89.78,NA,NA,NA
1993-03-20,NA,NA,NA,NA
1993-03-21,NA,NA,NA,NA
1993-03-22,90,NA,NA,NA
1993-03-23,90,NA,NA,NA
1993-03-24,90.24,NA,NA,NA
1993-03-25,90.19,NA,NA,NA
1993-03-26,89.39,NA,NA,NA
1993-03-27,NA,NA,NA,NA
1993-03-28,NA,NA,NA,NA
1993-03-29,89.03,NA,NA,NA
1993-03-30,89.24,NA,NA,NA
1993-03-31,88.74,NA,NA,NA
1993-04-01,88.84,NA,NA,NA
1993-04-02,87.69,NA,NA,NA
1993-04-03,NA,NA,NA,NA
1993-04-04,NA,NA,NA,NA
1993-04-05,88.63,NA,NA,NA
1993-04-06,88.32,NA,NA,NA
1993-04-07,87.88,NA,NA,NA
1993-04-08,87.16,NA,NA,NA
1993-04-10,NA,NA,NA,NA
1993-04-11,NA,NA,NA,NA
1993-04-12,87.95,NA,NA,NA
1993-04-13,88.22,NA,NA,NA
1993-04-14,88.61,NA,NA,NA
1993-04-15,89.66,NA,NA,NA
1993-04-16,90.94,NA,NA,NA
1993-04-17,NA,NA,NA,NA
1993-04-18,NA,NA,NA,NA
1993-04-19,90.49,NA,NA,NA
1993-04-20,90.33,NA,NA,NA
1993-04-21,90.22,NA,NA,NA
1993-04-22,90.42,NA,NA,NA
1993-04-23,90.35,NA,NA,NA
1993-04-24,NA,NA,NA,NA
1993-04-25,NA,NA,NA,NA
1993-04-26,90.36,NA,NA,NA
1993-04-27,90.25,NA,NA,NA
1993-04-28,90.16,NA,NA,NA
1993-04-29,90.31,NA,NA,NA
1993-04-30,90.65,NA,NA,NA
1993-05-01,NA,NA,NA,NA
1993-05-02,NA,NA,NA,NA
1993-05-03,90.53,NA,NA,NA
1993-05-04,90.04,NA,NA,NA
1993-05-05,89.93,NA,NA,NA
1993-05-06,89.5,NA,NA,NA
1993-05-07,89.24,NA,NA,NA
1993-05-08,NA,NA,NA,NA
1993-05-09,NA,NA,NA,NA
1993-05-10,88.97,NA,NA,NA
1993-05-11,89.43,NA,NA,NA
1993-05-12,90.35,NA,NA,NA
1993-05-13,90.33,NA,NA,NA
1993-05-14,89.92,NA,NA,NA
1993-05-15,NA,NA,NA,NA
1993-05-16,NA,NA,NA,NA
1993-05-17,89.65,NA,NA,NA
1993-05-18,90.01,NA,NA,NA
1993-05-19,91.15,NA,NA,NA
1993-05-20,91.7,NA,NA,NA
1993-05-21,91.24,NA,NA,NA
1993-05-22,NA,NA,NA,NA
1993-05-23,NA,NA,NA,NA
1993-05-24,91.58,NA,NA,NA
1993-05-25,92.35,NA,NA,NA
1993-05-26,92.58,NA,NA,NA
1993-05-27,93,NA,NA,NA
1993-05-28,92.17,NA,NA,NA
1993-05-29,NA,NA,NA,NA
1993-05-30,NA,NA,NA,NA
1993-06-01,92.52,NA,NA,NA
1993-06-02,92.54,NA,NA,NA
1993-06-03,92.42,NA,NA,NA
1993-06-04,91.99,NA,NA,NA
1993-06-05,NA,NA,NA,NA
1993-06-06,NA,NA,NA,NA
1993-06-07,92.07,NA,NA,NA
1993-06-08,90.87,NA,NA,NA
1993-06-09,90.42,NA,NA,NA
1993-06-10,89.99,NA,NA,NA
1993-06-11,89.6,NA,NA,NA
1993-06-12,NA,NA,NA,NA
1993-06-13,NA,NA,NA,NA
1993-06-14,89.24,NA,NA,NA
1993-06-15,88.55,NA,NA,NA
1993-06-16,88.75,NA,NA,NA
1993-06-17,89.59,NA,NA,NA
1993-06-18,89.28,NA,NA,NA
1993-06-19,NA,NA,NA,NA
1993-06-20,NA,NA,NA,NA
1993-06-21,89.67,NA,NA,NA
1993-06-22,89.35,NA,NA,NA
