ticker,XLU US Equity,XLU US Equity,XLU US Equity,XLU US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-03-06,57.16,1.558,11304354.0,112.64
2019-03-07,57.35,1.5733000000000001,15128499.0,112.64
2019-03-08,57.55,1.6572,18015882.0,112.64
2019-03-10,57.55,1.6572,18015882.0,105.836
2019-03-11,57.96,1.7361,14458845.0,105.836
2019-03-12,58.36,1.6147,17102050.0,105.836
2019-03-13,58.42,1.7381,15887625.0,105.836
2019-03-14,58.41,1.7792,15155384.0,105.836
2019-03-15,58.19,2.9575,17714892.0,105.836
2019-03-17,58.19,2.9575,17714892.0,104.173
2019-03-18,57.97,2.7743,15008763.0,104.173
2019-03-19,57.31,2.1493,22636223.0,104.173
2019-03-20,57.46,2.2258,18880460.0,104.173
2019-03-21,58.07,2.3688000000000002,15371776.0,104.173
2019-03-22,58.49,2.3254,20452512.0,104.173
2019-03-24,58.49,2.3254,20452512.0,105.569
2019-03-25,58.54,2.6545,13762955.0,105.569
2019-03-26,58.96,2.4868,15699774.0,105.569
2019-03-27,58.55,2.5557,17323640.0,105.569
2019-03-28,57.86,2.472,24748769.0,105.569
2019-03-29,58.17,2.4827,21835137.0,105.569
2019-03-31,58.17,2.4827,21835137.0,105.845
2019-04-01,57.77,2.4728,26681942.0,105.845
2019-04-02,57.85,2.2661,24978101.0,105.845
2019-04-03,57.76,2.3596,15450528.0,105.845
2019-04-04,57.56,2.3864,16264598.0,105.845
2019-04-05,58.1,2.5954,15419351.0,105.845
2019-04-07,58.1,2.5954,15419351.0,103.388
2019-04-08,57.69,2.5628,14681743.0,103.388
2019-04-09,57.83,2.1302,12993931.0,103.388
2019-04-10,57.65,2.1178,16891151.0,103.388
2019-04-11,57.94,2.0748,17420015.0,103.388
2019-04-12,58.21,2.0217,15926624.0,103.388
2019-04-14,58.21,2.0217,15926624.0,107.55
2019-04-15,58.2,2.1031,15253376.0,107.55
2019-04-16,57.48,1.9902,19688846.0,107.55
2019-04-17,57.26,2.0085,15194799.0,107.55
2019-04-18,57.29,2.0041,16039368.0,107.55
2019-04-21,57.29,2.0041,16039368.0,111.695
2019-04-22,57.24,1.8934,10685482.0,111.695
2019-04-23,57.4,1.8883999999999999,17068171.0,111.695
2019-04-24,57.77,1.7631000000000001,16428356.0,111.695
2019-04-25,58.01,1.8203,15253408.0,111.695
2019-04-26,58.1,1.7969,14517404.0,111.695
2019-04-28,58.1,1.7969,14517404.0,109.637
2019-04-29,57.76,1.8932,20775908.0,109.637
2019-04-30,58.71,1.6974,22016749.0,109.637
2019-05-01,58.11,1.865,26412895.0,109.637
2019-05-02,57.98,1.8909,23464020.0,109.637
2019-05-03,58.3,1.9468999999999999,16071256.0,109.637
2019-05-05,58.3,1.9468999999999999,16071256.0,105.057
2019-05-06,57.98,1.9778,13389683.0,105.057
2019-05-07,57.8,1.9052,12542240.0,105.057
2019-05-08,57.01,1.8838,28692351.0,105.057
2019-05-09,56.94,1.8933,16173941.0,105.057
2019-05-10,57.96,2.0837,25157994.0,105.057
2019-05-12,57.96,2.0837,25157994.0,108.237
2019-05-13,58.58,2.1822,20096262.0,108.237
2019-05-14,58.19,2.1775,17609426.0,108.237
2019-05-15,58.09,2.1426,14577531.0,108.237
2019-05-16,58.48,2.1373,13908648.0,108.237
2019-05-17,58.78,2.1401,10477144.0,108.237
2019-05-19,58.78,2.1401,10477144.0,97.679
2019-05-20,58.86,2.4603,9118825.0,97.679
2019-05-21,58.97,1.9557,11504381.0,97.679
2019-05-22,59.41,1.9939,9257875.0,97.679
2019-05-23,59.92,2.003,15164644.0,97.679
2019-05-24,59.83,2.0558,8712444.0,97.679
2019-05-26,59.83,2.0558,8712444.0,102.076
2019-05-28,58.85,2.1526,16397885.0,102.076
2019-05-29,58.07,1.9964,20119139.0,102.076
2019-05-30,57.98,1.9754,16822644.0,102.076
2019-05-31,58.25,2.1626,18256977.0,102.076
2019-06-02,58.25,2.1626,18256977.0,101.161
2019-06-03,58.83,2.2318,20335357.0,101.161
2019-06-04,58.88,2.1189999999999998,18529201.0,101.161
2019-06-05,60.14,2.1315,31755266.0,101.161
2019-06-06,60.51,2.1914,25511179.0,101.161
2019-06-07,60.06,2.2661,18993119.0,101.161
2019-06-09,60.06,2.2661,18993119.0,98.295
2019-06-10,59.65,2.3291,13700645.0,98.295
2019-06-11,59.29,2.1459,18036072.0,98.295
2019-06-12,60.06,2.0962,12350232.0,98.295
2019-06-13,60.18,2.0314,16212082.0,98.295
2019-06-14,60.81,1.9005999999999998,14242691.0,98.295
2019-06-16,60.81,1.9005999999999998,14242691.0,97.111
2019-06-17,60.64,2.0211,11462105.0,97.111
2019-06-18,60.39,1.8668,23145284.0,97.111
2019-06-19,60.85,1.9075,21596059.0,97.111
2019-06-20,61.24,1.7532999999999999,19137840.0,97.111
2019-06-21,60.99,2.3768000000000002,15058221.0,97.111
2019-06-23,60.99,2.3768000000000002,15058221.0,99.418
2019-06-24,61.01,2.3144,9887207.0,99.418
2019-06-25,60.64,1.3082,12145391.0,99.418
2019-06-26,59.32,1.3496000000000001,16888504.0,99.418
2019-06-27,59.4,1.4346,14135667.0,99.418
2019-06-28,59.63,1.3968,16133243.0,99.418
2019-06-30,59.63,1.3968,16133243.0,94.122
2019-07-01,59.48,1.397,17961489.0,94.122
2019-07-02,60.29,1.2961,21359553.0,94.122
2019-07-03,60.71,1.3336000000000001,15786570.0,94.122
2019-07-05,60.68,1.4681,15946419.0,94.122
2019-07-07,60.68,1.4681,15946419.0,95.373
2019-07-08,60.77,1.5451000000000001,9418172.0,95.373
2019-07-09,60.85,1.3892,17482740.0,95.373
2019-07-10,60.99,1.4118,11486336.0,95.373
2019-07-11,61.01,1.4683,19998068.0,95.373
2019-07-12,60.61,1.3755,11245327.0,95.373
2019-07-14,60.61,1.3755,11245327.0,96.211
2019-07-15,60.85,1.3901,9345294.0,96.211
2019-07-16,60.5,1.3115999999999999,14374603.0,96.211
2019-07-17,60.73,1.2704,13354700.0,96.211
2019-07-18,61.26,1.2564,14733306.0,96.211
2019-07-19,60.37,1.268,15308265.0,96.211
2019-07-21,60.37,1.268,15308265.0,93.244
2019-07-22,60.24,1.3044,13176460.0,93.244
2019-07-23,59.86,1.124,16790570.0,93.244
2019-07-24,59.91,1.1162,13560676.0,93.244
2019-07-25,59.76,1.1461999999999999,14148321.0,93.244
2019-07-26,59.98,1.1473,13879023.0,93.244
2019-07-28,59.98,1.1473,13879023.0,91.288
2019-07-29,60.29,1.1337,16621679.0,91.288
2019-07-30,59.83,1.1306,18995582.0,91.288
2019-07-31,59.55,1.1738,24380965.0,91.288
2019-08-01,60.16,1.1749,29493118.0,91.288
2019-08-02,60.15,1.1674,14939274.0,91.288
2019-08-04,60.15,1.1674,14939274.0,93.031
2019-08-05,59.29,1.192,26576768.0,93.031
2019-08-06,60.03,1.1669,27036103.0,93.031
2019-08-07,60.18,1.1439,24954683.0,93.031
2019-08-08,60.8,1.1285,17057521.0,93.031
2019-08-09,60.87,1.1578,11813461.0,93.031
2019-08-11,60.87,1.1578,11813461.0,92.642
2019-08-12,60.75,1.2375,13403879.0,92.642
2019-08-13,60.79,1.2191,17913240.0,92.642
2019-08-14,60.29,1.2178,20290469.0,92.642
2019-08-15,61.07,1.2478,24285172.0,92.642
2019-08-16,61.38,1.2934,16518395.0,92.642
2019-08-18,61.38,1.2934,16518395.0,96.58
2019-08-19,61.77,1.4962,14234068.0,96.58
2019-08-20,61.67,1.1942,15526521.0,96.58
2019-08-21,62.08,1.1715,14400448.0,96.58
2019-08-22,62.14,1.2458,14917127.0,96.58
2019-08-23,61.48,1.2378,21298197.0,96.58
2019-08-25,61.48,1.2378,21298197.0,91.281
2019-08-26,62.19,1.2804,12850725.0,91.281
2019-08-27,62.3,1.2823,19225278.0,91.281
2019-08-28,62.13,1.2769,15896520.0,91.281
2019-08-29,62.56,1.3395000000000001,17734003.0,91.281
2019-08-30,62.58,1.3728,12082979.0,91.281
2019-09-01,62.58,1.3728,12082979.0,91.149
2019-09-03,63.69,1.4307,21364845.0,91.149
2019-09-04,63.75,1.3774,15816622.0,91.149
2019-09-05,63.06,1.3444,29333136.0,91.149
2019-09-06,62.81,1.4539,12663215.0,91.149
2019-09-08,62.81,1.4539,12663215.0,91.9
2019-09-09,62.5,1.5997,16824965.0,91.9
2019-09-10,62.58,1.3743,19168054.0,91.9
2019-09-11,63.2,1.3774,22688457.0,91.9
2019-09-12,63.34,1.3679999999999999,23599650.0,91.9
2019-09-13,62.94,1.4209,24999131.0,91.9
2019-09-15,62.94,1.4209,24999131.0,93.918
2019-09-16,62.99,1.4647000000000001,11962988.0,93.918
2019-09-17,63.54,1.3618000000000001,17400992.0,93.918
2019-09-18,63.81,1.3965,21937748.0,93.918
2019-09-19,64.11,1.4243000000000001,15058725.0,93.918
2019-09-20,63.87,1.9245,18518196.0,93.918
2019-09-22,63.87,1.9245,18518196.0,94.794
