ticker,XLB US Equity,XLB US Equity,XLB US Equity,XLB US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-03-06,55.09,1.1179999999999999,4615534.0,84.291
2019-03-07,54.64,1.157,11961864.0,84.291
2019-03-08,54.73,1.1839,7144551.0,84.291
2019-03-10,54.73,1.1839,7144551.0,87.034
2019-03-11,55.51,1.2134,6857708.0,87.034
2019-03-12,55.72,1.153,7216143.0,87.034
2019-03-13,55.99,1.1696,5518388.0,87.034
2019-03-14,55.57,1.1023,5039791.0,87.034
2019-03-15,55.4,1.3143,7259022.0,87.034
2019-03-17,55.4,1.3143,7259022.0,85.24
2019-03-18,55.53,1.3066,4345470.0,85.24
2019-03-19,55.46,0.9707,5271277.0,85.24
2019-03-20,55.41,1.0042,11234984.0,85.24
2019-03-21,56.0,1.0049,7959661.0,85.24
2019-03-22,54.33,0.9966,9123744.0,85.24
2019-03-24,54.33,0.9966,9123744.0,89.083
2019-03-25,54.23,0.9336,6562715.0,89.083
2019-03-26,54.56,0.9798,5899772.0,89.083
2019-03-27,54.49,1.0715,9782585.0,89.083
2019-03-28,55.02,1.1199,4870911.0,89.083
2019-03-29,55.5,1.083,6327316.0,89.083
2019-03-31,55.5,1.083,6327316.0,92.084
2019-04-01,56.33,1.0878,6454300.0,92.084
2019-04-02,56.52,1.1156,7112307.0,92.084
2019-04-03,57.26,0.9873,17364483.0,92.084
2019-04-04,57.84,0.9689,6102846.0,92.084
2019-04-05,57.82,0.9804,3668642.0,92.084
2019-04-07,57.82,0.9804,3668642.0,93.084
2019-04-08,57.84,0.9694,6574723.0,93.084
2019-04-09,57.42,0.9512,6110767.0,93.084
2019-04-10,57.39,0.9593,3797388.0,93.084
2019-04-11,57.36,0.9789,3494571.0,93.084
2019-04-12,58.12,1.0093,3608661.0,93.084
2019-04-14,58.12,1.0093,3608661.0,94.413
2019-04-15,57.85,1.1409,2705083.0,94.413
2019-04-16,58.11,1.1049,3737478.0,94.413
2019-04-17,57.75,1.106,3370239.0,94.413
2019-04-18,57.82,1.1083,3634417.0,94.413
2019-04-21,57.82,1.1083,3634417.0,94.095
2019-04-22,57.43,1.2595,5988068.0,94.095
2019-04-23,57.69,1.0017,7645160.0,94.095
2019-04-24,57.33,0.9806,3808269.0,94.095
2019-04-25,56.6,0.981,5180061.0,94.095
2019-04-26,57.07,1.0654,4950092.0,94.095
2019-04-28,57.07,1.0654,4950092.0,97.099
2019-04-29,56.96,1.0875,6056504.0,97.099
