ticker,XLY US Equity,XLY US Equity,XLY US Equity,XLY US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-03-06,110.51,1.1506,3769555.0,80.853
2019-03-07,109.17,1.1319,7076275.0,80.853
2019-03-08,108.41,1.1264,5806915.0,80.853
2019-03-10,108.41,1.1264,5806915.0,81.06
2019-03-11,109.9,1.1372,4562262.0,81.06
2019-03-12,110.21,1.1182,8634046.0,81.06
2019-03-13,110.6,1.1252,4852050.0,81.06
2019-03-14,110.27,1.1202,4901695.0,81.06
2019-03-15,110.6,1.2838,5427955.0,81.06
2019-03-17,110.6,1.2838,5427955.0,81.896
2019-03-18,111.67,1.2103,5485631.0,81.896
2019-03-19,112.23,0.9503,7016654.0,81.896
2019-03-20,112.39,1.0307,9949399.0,81.896
2019-03-21,113.93,1.0279,5731484.0,81.896
2019-03-22,111.67,1.0547,8758893.0,81.896
2019-03-24,111.67,1.0547,8758893.0,80.008
2019-03-25,112.33,1.1431,7461877.0,80.008
2019-03-26,112.81,1.1158,5440650.0,80.008
2019-03-27,112.58,1.0825,4427768.0,80.008
2019-03-28,113.26,1.1002,6928435.0,80.008
2019-03-29,113.85,1.1028,4599934.0,80.008
2019-03-31,113.85,1.1028,4599934.0,80.492
2019-04-01,115.1,1.1827,4977726.0,80.492
2019-04-02,115.08,0.9604,3631791.0,80.492
2019-04-03,115.89,0.9624,4211309.0,80.492
2019-04-04,116.83,0.9785,3073869.0,80.492
2019-04-05,117.52,0.9745,2946748.0,80.492
2019-04-07,117.52,0.9745,2946748.0,78.986
2019-04-08,117.94,1.1332,3231419.0,78.986
2019-04-09,116.88,1.0887,4456471.0,78.986
2019-04-10,117.44,1.1129,3406876.0,78.986
2019-04-11,117.59,1.1219999999999999,2165418.0,78.986
2019-04-12,118.32,1.1213,4538867.0,78.986
2019-04-14,118.32,1.1213,4538867.0,80.479
2019-04-15,118.56,1.1682,2432718.0,80.479
2019-04-16,119.08,1.173,3014556.0,80.479
2019-04-17,119.31,1.2287,2781367.0,80.479
2019-04-18,119.27,1.2365,3071288.0,80.479
2019-04-21,119.27,1.2365,3071288.0,80.658
2019-04-22,118.82,1.3687,2764755.0,80.658
2019-04-23,120.24,1.2109,4099784.0,80.658
2019-04-24,120.35,1.2156,2181383.0,80.658
2019-04-25,119.72,1.2068,2820071.0,80.658
2019-04-26,120.67,1.1942,4236856.0,80.658
2019-04-28,120.67,1.1942,4236856.0,80.006
2019-04-29,120.25,1.2719,3700251.0,80.006
2019-04-30,120.07,1.2455,4339764.0,80.006
2019-05-01,118.61,1.2439,4561464.0,80.006
2019-05-02,118.7,1.2421,10408526.0,80.006
2019-05-03,120.1,1.2541,3502942.0,80.006
2019-05-05,120.1,1.2541,3502942.0,77.812
2019-05-06,119.37,1.2732,3814048.0,77.812
2019-05-07,117.56,1.2481,6578626.0,77.812
2019-05-08,117.6,1.2823,7152701.0,77.812
2019-05-09,117.12,1.3836,6383047.0,77.812
2019-05-10,117.29,1.4705,6820805.0,77.812
2019-05-12,117.29,1.4705,6820805.0,78.002
2019-05-13,113.8,1.4294,7642191.0,78.002
2019-05-14,114.95,1.3665,4595948.0,78.002
2019-05-15,115.73,1.3598,4156782.0,78.002
2019-05-16,116.8,1.3615,3615889.0,78.002
