ticker,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-31,11.12,28.75,1163.17,18.3908,6.2515,3.8576,5.57,5.4375
2019-02-01,11.16,28.75,1170.2,18.502,6.2893,3.8810000000000002,5.54,5.4048
2019-02-04,11.09,29.43,1188.93,18.7643,6.4111,3.9412000000000003,5.47,5.3293
2019-02-05,11.08,29.43,1199.45,18.9303,6.4678,3.9760999999999997,5.42,5.2825
2019-02-06,14.2,29.43,1202.35,18.9761,6.4835,3.9857,5.41,5.2698
2019-02-07,14.16,29.43,1185.04,18.7029,6.3901,3.9283,5.49,5.3468
2019-02-08,18.6,29.43,1190.85,18.8031,6.4215,3.9496,5.46,5.3183
2019-02-11,18.23,29.43,1190.91,18.8041,6.4218,3.9497999999999998,5.46,5.318
2019-02-12,18.43,29.43,1207.13,19.0602,6.5093,4.0036,5.39,5.2465
2019-02-13,18.99,29.43,1208.81,19.0867,6.5183,4.0091,5.38,5.2392
2019-02-14,18.65,29.43,1210.29,19.1101,6.5263,4.014,5.38,5.2328
2019-02-15,18.88,29.43,1219.86,19.2635,6.5779,4.0458,5.33,5.1912
2019-02-18,18.88,29.43,1219.86,19.2635,6.5779,4.0458,5.33,5.1912
2019-02-19,18.92,29.43,1220.06,19.2666,6.579,4.0464,5.35,5.1903
2019-02-20,12.75,29.43,1220.55,19.2744,6.5816,4.0481,5.35,5.1882
2019-02-21,12.69,29.43,1221.16,19.284,6.5849,4.0501,5.34,5.1857
2019-02-22,12.71,29.43,1236.87,19.5321,6.6696,4.1022,5.28,5.1198
2019-02-25,12.75,29.44,1242.99,19.6255,6.7034,4.1225,5.25,5.0954
2019-02-26,12.73,29.44,1245.45,19.6644,6.7166,4.1307,5.24,5.0853
2019-02-27,12.67,29.44,1244.17,19.6442,6.7097,4.1264,5.25,5.0906
2019-02-28,12.55,29.52,1240.23,19.6847,6.705,4.1128,5.24,5.0801
2019-03-01,12.52,29.51,1249.02,19.8197,6.7479,4.1401,5.21,5.0455
2019-03-04,12.54,29.51,1244.15,19.7449,6.7216000000000005,4.1257,5.23,5.0646
2019-03-05,12.45,29.51,1240.55,19.6878,6.7022,4.1138,5.24,5.0793
2019-03-06,12.38,29.51,1233.76,19.58,6.6655,4.0913,5.27,5.1072
2019-03-07,12.35,29.51,1222.4,19.3997,6.6041,4.0536,5.32,5.1547
2019-03-08,12.41,29.51,1222.09,19.3948,6.6024,4.0526,5.32,5.156
2019-03-11,12.38,29.51,1248.58,19.8152,6.7455,4.1404,5.21,5.0466
2019-03-12,12.35,29.51,1255.07,19.9914,6.7806,4.1619,5.18,5.0022
2019-03-13,12.36,29.51,1263.67,20.106,6.8271,4.1905,5.15,4.9736
2019-03-14,12.39,29.51,1266.23,20.1467,6.8408999999999995,4.1989,5.14,4.9636
2019-03-15,12.5,29.51,1281.64,20.3877,6.9241,4.25,5.08,4.9049
2019-03-18,12.42,29.48,1286.87,20.5076,6.9655000000000005,4.28,5.03,4.8763
2019-03-19,12.58,29.48,1289.45,20.5487,6.9795,4.2886,5.02,4.8665
2019-03-20,12.57,29.48,1285.9,20.4921,6.9603,4.2767,5.04,4.8799
2019-03-21,13.09,29.48,1317.68,20.9985,7.1323,4.3824,4.92,4.7622
2019-03-22,12.88,29.48,1286.77,20.506,6.965,4.2796,5.03,4.8766
2019-03-25,12.87,29.48,1281.66,20.4245,6.9373000000000005,4.2626,5.05,4.8961
2019-03-26,12.98,29.48,1288.82,20.5386,6.9761,4.2865,5.03,4.8689
2019-03-27,12.97,29.48,1281.78,20.4264,6.938,4.263,5.05,4.8956
2019-03-28,12.96,29.48,1286.59,20.5031,6.964,4.279,5.03,4.8773
2019-03-29,13.0,29.48,1299.16,20.8185,7.0434,4.3274,4.97,4.8034
2019-04-01,10.77,30.39,1317.4,20.9992,7.1801,4.3529,4.92,4.7621
2019-04-02,10.76,30.39,1321.39,21.0628,7.2019,4.3661,4.91,4.7477
2019-04-03,10.83,30.39,1332.39,21.2381,7.2618,4.4024,4.87,4.7085
2019-04-04,10.82,30.39,1326.56,21.1452,7.2301,4.3832,4.89,4.7292
2019-04-05,10.91,30.39,1332.22,21.2354,7.2609,4.4019,4.87,4.7091
2019-04-08,10.9,30.39,1337.63,21.3216,7.2904,4.4198,4.85,4.6901
2019-04-09,14.26,30.39,1330.64,21.2127,7.2516,4.3967,4.88,4.7142
