ticker,XLK US Equity,XLK US Equity,XLK US Equity,XLK US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-03-07,69.82,0.9986,18498286.0,63.57
2019-03-08,69.81,1.0156,12890714.0,63.57
2019-03-10,69.81,1.0156,12890714.0,62.973
2019-03-11,71.31,1.0379,14577194.0,62.973
2019-03-12,71.73,1.076,18050877.0,62.973
2019-03-13,72.2,0.97,17833630.0,62.973
2019-03-14,72.35,0.997,10656663.0,62.973
2019-03-15,72.99,1.2949,21024520.0,62.973
2019-03-17,72.99,1.2949,21024520.0,65.968
2019-03-18,73.3,1.3133,14837637.0,65.968
2019-03-19,73.45,0.9752,16153202.0,65.968
2019-03-20,73.25,0.9844,13704293.0,65.968
2019-03-21,75.09,0.9875,27274148.0,65.968
2019-03-22,73.32,0.9163,26747361.0,65.968
2019-03-24,73.32,0.9163,26747361.0,68.455
2019-03-25,73.0,0.954,21946894.0,68.455
2019-03-26,73.4,0.9486,13965286.0,68.455
2019-03-27,72.98,0.9688,15831176.0,68.455
2019-03-28,73.28,0.9064,10539704.0,68.455
2019-03-29,74.0,0.902,14347178.0,68.455
2019-03-31,74.0,0.902,14347178.0,65.792
2019-04-01,75.01,0.9026,12590504.0,65.792
2019-04-02,75.27,0.8773,11787177.0,65.792
2019-04-03,75.88,0.8856,13869223.0,65.792
2019-04-04,75.56,0.9094,11503077.0,65.792
2019-04-05,75.92,0.9096,6709785.0,65.792
2019-04-07,75.92,0.9096,6709785.0,65.702
2019-04-08,76.21,0.9313,7309911.0,65.702
2019-04-09,75.85,0.9203,13440126.0,65.702
2019-04-10,76.38,0.9115,8617805.0,65.702
2019-04-11,76.28,0.929,7697338.0,65.702
2019-04-12,76.81,0.931,8555372.0,65.702
2019-04-14,76.81,0.931,8555372.0,64.839
2019-04-15,76.78,0.9654,9910693.0,64.839
2019-04-16,77.17,1.0046,9609547.0,64.839
2019-04-17,77.6,1.0085,12247872.0,64.839
2019-04-18,77.82,1.039,11491949.0,64.839
2019-04-21,77.82,1.039,11491949.0,66.221
2019-04-22,78.0,1.4014,8084368.0,66.221
2019-04-23,78.85,1.0493999999999999,16693005.0,66.221
2019-04-24,78.88,1.0688,10938268.0,66.221
2019-04-25,78.86,1.2398,11387585.0,66.221
2019-04-26,78.56,1.0909,11050219.0,66.221
2019-04-28,78.56,1.0909,11050219.0,65.184
2019-04-29,78.58,1.2057,10613331.0,65.184
2019-04-30,78.71,1.1834,18842869.0,65.184
2019-05-01,78.51,1.1312,15446826.0,65.184
2019-05-02,78.1,1.1569,24988752.0,65.184
