ticker,XLI US Equity,XLI US Equity,XLI US Equity,XLI US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-03-06,74.87,1.5034,18468355.0,98.471
2019-03-07,74.42,1.5198,19104699.0,98.471
2019-03-08,74.27,1.5516,14341278.0,98.471
2019-03-10,74.27,1.5516,14341278.0,98.11
2019-03-11,74.9,1.541,15298295.0,98.11
2019-03-12,74.28,1.5983,17995791.0,98.11
2019-03-13,74.93,1.6053,13387866.0,98.11
2019-03-14,74.68,1.6071,9636528.0,98.11
2019-03-15,73.99,2.0807,24900046.0,98.11
2019-03-17,73.99,2.0807,24900046.0,100.512
2019-03-18,74.71,1.8098,10313893.0,100.512
2019-03-19,74.44,1.6536,10778218.0,100.512
2019-03-20,73.93,1.5967,11259449.0,100.512
2019-03-21,74.64,1.5886,10638633.0,100.512
2019-03-22,72.95,1.6120999999999999,18004399.0,100.512
2019-03-24,72.95,1.6120999999999999,18004399.0,100.897
2019-03-25,73.12,1.6082999999999998,12372760.0,100.897
2019-03-26,73.61,1.7109999999999999,10523982.0,100.897
2019-03-27,73.69,1.7079,10556131.0,100.897
2019-03-28,74.23,1.7189999999999999,10030122.0,100.897
2019-03-29,75.03,1.7325,10138768.0,100.897
2019-03-31,75.03,1.7325,10138768.0,99.56
2019-04-01,76.58,1.8064,15530976.0,99.56
2019-04-02,76.55,1.5001,10397617.0,99.56
2019-04-03,76.32,1.5358,12726012.0,99.56
2019-04-04,76.79,1.561,9236642.0,99.56
2019-04-05,77.01,1.5573000000000001,7531373.0,99.56
2019-04-07,77.01,1.5573000000000001,7531373.0,96.821
2019-04-08,76.68,1.5937999999999999,8819137.0,96.821
2019-04-09,75.64,1.4989,9814477.0,96.821
2019-04-10,75.62,1.4524,13974689.0,96.821
2019-04-11,76.27,1.4884,9532153.0,96.821
2019-04-12,77.28,1.4858,11175121.0,96.821
2019-04-14,77.28,1.4858,11175121.0,98.385
2019-04-15,76.85,1.5106000000000002,7368111.0,98.385
2019-04-16,77.32,1.5026000000000002,7101573.0,98.385
2019-04-17,77.42,1.468,10363901.0,98.385
2019-04-18,78.31,1.4696,13192661.0,98.385
2019-04-21,78.31,1.4696,13192661.0,98.187
2019-04-22,78.07,1.8780000000000001,6477790.0,98.187
2019-04-23,78.75,1.5983,13760481.0,98.187
2019-04-24,78.52,2.0149,7718026.0,98.187
2019-04-25,76.94,2.042,12555935.0,98.187
2019-04-26,77.52,1.9846,12262594.0,98.187
2019-04-28,77.52,1.9846,12262594.0,97.669
2019-04-29,77.7,2.156,8759251.0,97.669
2019-04-30,78.01,1.9385,9546653.0,97.669
2019-05-01,77.5,1.9931,16918680.0,97.669
2019-05-02,77.46,2.18,16360969.0,97.669
2019-05-03,78.4,2.1532999999999998,12904073.0,97.669
2019-05-05,78.4,2.1532999999999998,12904073.0,101.545
2019-05-06,77.65,2.1503,11928825.0,101.545
2019-05-07,76.08,1.8592,18356220.0,101.545
2019-05-08,76.08,1.8331,16464956.0,101.545
2019-05-09,75.97,1.7783,14923662.0,101.545
2019-05-10,76.27,1.9218,17419836.0,101.545
2019-05-12,76.27,1.9218,17419836.0,98.809
2019-05-13,74.1,1.9315,20011033.0,98.809
2019-05-14,74.87,1.9725000000000001,11318011.0,98.809
2019-05-15,74.97,1.819,12289963.0,98.809
2019-05-16,75.66,1.8172000000000001,7450005.0,98.809
2019-05-17,74.82,1.8726,16305654.0,98.809
2019-05-19,74.82,1.8726,16305654.0,105.239
2019-05-20,74.63,1.7734,11638491.0,105.239
2019-05-21,75.51,1.843,10612265.0,105.239
2019-05-22,74.89,1.8064,9114746.0,105.239
2019-05-23,73.75,1.8712,16205768.0,105.239
2019-05-24,73.78,1.9865,11127434.0,105.239
2019-05-26,73.78,1.9865,11127434.0,105.531
2019-05-28,73.1,1.8444,11263080.0,105.531
2019-05-29,72.77,2.1063,14257069.0,105.531
2019-05-30,73.05,2.1848,10103505.0,105.531
2019-05-31,72.05,2.2008,13718389.0,105.531
2019-06-02,72.05,2.2008,13718389.0,104.076
2019-06-03,72.54,2.2702999999999998,17514954.0,104.076
2019-06-04,74.27,2.523,16424739.0,104.076
2019-06-05,74.99,2.4186,12865641.0,104.076
2019-06-06,75.12,2.6123,11387334.0,104.076
2019-06-07,75.72,2.575,9234296.0,104.076
2019-06-09,75.72,2.575,9234296.0,99.67
2019-06-10,75.82,2.7511,9513873.0,99.67
2019-06-11,75.17,2.1139,11936562.0,99.67
2019-06-12,75.33,2.1896,5612474.0,99.67
2019-06-13,75.71,2.1992,6987036.0,99.67
2019-06-14,75.41,2.2181,5966596.0,99.67
2019-06-16,75.41,2.2181,5966596.0,102.565
2019-06-17,75.15,2.2544,7708766.0,102.565
2019-06-18,76.61,2.183,12506299.0,102.565
