ticker,XLE US Equity,XLE US Equity,XLE US Equity,XLE US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-03-07,65.12,0.8728,23446166.0,91.161
2019-03-08,63.9,0.8662,15621533.0,91.161
2019-03-10,63.9,0.8662,15621533.0,88.175
2019-03-11,64.9,0.859,13212089.0,88.175
2019-03-12,65.32,0.8915,11013139.0,88.175
2019-03-13,65.98,0.884,13206790.0,88.175
2019-03-14,66.05,0.8777,12320420.0,88.175
2019-03-15,65.51,0.9457,12427359.0,88.175
2019-03-17,65.51,0.9457,12427359.0,89.088
2019-03-18,66.42,0.8976,10067909.0,89.088
2019-03-19,66.24,0.8713,12525956.0,89.088
2019-03-20,66.82,0.8689,13662863.0,89.088
2019-03-21,67.29,0.8909,17878046.0,89.088
2019-03-22,65.47,0.8866,19974975.0,89.088
2019-03-24,65.47,0.8866,19974975.0,92.192
2019-03-25,65.5,0.8697,12346537.0,92.192
2019-03-26,66.44,0.9368,11516543.0,92.192
2019-03-27,65.97,0.96,9582647.0,92.192
2019-03-28,66.22,0.9716,9149159.0,92.192
2019-03-29,66.12,0.9609,10037621.0,92.192
2019-03-31,66.12,0.9609,10037621.0,90.613
2019-04-01,66.99,0.9718,12411747.0,90.613
2019-04-02,66.53,1.0366,11152432.0,90.613
2019-04-03,65.89,1.0387,11989787.0,90.613
2019-04-04,66.44,1.0578,10504382.0,90.613
2019-04-05,67.61,1.0575,17269238.0,90.613
2019-04-07,67.61,1.0575,17269238.0,90.758
2019-04-08,67.91,1.0625,10602138.0,90.758
2019-04-09,67.08,0.9846,14541926.0,90.758
2019-04-10,67.33,0.9829,9375986.0,90.758
2019-04-11,67.38,0.9841,10914234.0,90.758
2019-04-12,67.56,0.9882,15426841.0,90.758
2019-04-14,67.56,0.9882,15426841.0,90.377
2019-04-15,67.16,1.0167,8300980.0,90.377
2019-04-16,67.6,0.9795,8130337.0,90.377
2019-04-17,67.51,0.9811,10934622.0,90.377
2019-04-18,67.19,0.9839,9759653.0,90.377
2019-04-21,67.19,0.9839,9759653.0,90.967
2019-04-22,68.61,1.0643,14164657.0,90.967
2019-04-23,68.5,1.2497,10212221.0,90.967
2019-04-24,67.3,1.2893,11019051.0,90.967
2019-04-25,67.09,1.3146,12060913.0,90.967
2019-04-26,66.22,1.3314,16838386.0,90.967
2019-04-28,66.22,1.3314,16838386.0,89.912
2019-04-29,66.16,1.3077,12974541.0,89.912
2019-04-30,66.11,1.2919,14327153.0,89.912
2019-05-01,64.79,1.3242,22155991.0,89.912
2019-05-02,63.66,1.2619,28033012.0,89.912
2019-05-03,64.25,1.2778,19624559.0,89.912
2019-05-05,64.25,1.2778,19624559.0,97.513
2019-05-06,64.31,1.2609,20344657.0,97.513
2019-05-07,63.75,1.2656,15064718.0,97.513
2019-05-08,63.75,1.2879,9823707.0,97.513
2019-05-09,63.75,1.3135,14409544.0,97.513
2019-05-10,64.05,1.3288,13074954.0,97.513
2019-05-12,64.05,1.3288,13074954.0,98.701
2019-05-13,62.95,1.2612999999999999,14070022.0,98.701
2019-05-14,63.72,1.2844,9241956.0,98.701
2019-05-15,64.05,1.274,10092343.0,98.701
2019-05-16,64.4,1.2465,9376619.0,98.701
2019-05-17,63.75,1.2397,10555799.0,98.701
2019-05-19,63.75,1.2397,10555799.0,90.238
2019-05-20,63.78,1.195,8186324.0,90.238
2019-05-21,64.52,1.2342,18380450.0,90.238
2019-05-22,63.52,1.2376,9637121.0,90.238
2019-05-23,61.39,1.2323,23963613.0,90.238
2019-05-24,61.62,0.9708,10153381.0,90.238
2019-05-26,61.62,0.9708,10153381.0,89.525
2019-05-28,60.98,0.9673,12930642.0,89.525
2019-05-29,60.59,0.9823,16951585.0,89.525
2019-05-30,59.82,0.9969,15173861.0,89.525
2019-05-31,58.77,0.9901,21898542.0,89.525
2019-06-02,58.77,0.9901,21898542.0,91.701
2019-06-03,59.52,0.9784,18024661.0,91.701
2019-06-04,60.55,1.2692,14743427.0,91.701
2019-06-05,59.88,1.2671000000000001,15882054.0,91.701
2019-06-06,60.99,1.2599,32393915.0,91.701
2019-06-07,61.27,1.249,15774071.0,91.701
2019-06-09,61.27,1.249,15774071.0,87.355
2019-06-10,61.45,1.2574,9837825.0,87.355
2019-06-11,61.57,1.2767,9522629.0,87.355
2019-06-12,60.7,1.2883,13816452.0,87.355
2019-06-13,61.41,1.2518,12191939.0,87.355
2019-06-14,61.01,1.2448,7916416.0,87.355
2019-06-16,61.01,1.2448,7916416.0,88.533
2019-06-17,61.52,1.2476,8795248.0,88.533
2019-06-18,62.37,1.2715,17222144.0,88.533
2019-06-19,62.3,1.1448,8827665.0,88.533
2019-06-20,63.68,1.1463,25953969.0,88.533
2019-06-21,63.56,1.1976,16356327.0,88.533
2019-06-23,63.56,1.1976,16356327.0,84.715
2019-06-24,62.99,1.0632,10396671.0,84.715
2019-06-25,62.49,1.1626,11887333.0,84.715
2019-06-26,63.45,1.1817,14326784.0,84.715
2019-06-27,62.98,1.1985000000000001,10608998.0,84.715
2019-06-28,63.71,1.2099,17369740.0,84.715
2019-06-30,63.71,1.2099,17369740.0,85.198
2019-07-01,63.77,1.2478,14913860.0,85.198
2019-07-02,62.75,1.1862,12100515.0,85.198
2019-07-03,63.0,1.194,6987346.0,85.198
2019-07-05,63.09,1.172,7363356.0,85.198
2019-07-07,63.09,1.172,7363356.0,84.567
2019-07-08,63.18,1.1784,8628482.0,84.567
2019-07-09,63.23,1.1834,7488131.0,84.567
2019-07-10,64.04,1.1945000000000001,11767381.0,84.567
2019-07-11,64.17,1.153,12681342.0,84.567
2019-07-12,64.44,1.1303,8081374.0,84.567
2019-07-14,64.44,1.1303,8081374.0,84.708
2019-07-15,63.86,1.1451,9538946.0,84.708
2019-07-16,63.18,1.0915,10587053.0,84.708
2019-07-17,62.46,1.0962,13664662.0,84.708
2019-07-18,62.47,1.1087,12755565.0,84.708
2019-07-19,62.76,1.1037,9965289.0,84.708
2019-07-21,62.76,1.1037,9965289.0,81.626
2019-07-22,63.05,1.0955,7844184.0,81.626
2019-07-23,63.22,1.1187,7268818.0,81.626
2019-07-24,63.49,1.1091,9907734.0,81.626
2019-07-25,62.77,1.1013,10070354.0,81.626
2019-07-26,62.45,1.0907,9653823.0,81.626
2019-07-28,62.45,1.0907,9653823.0,82.054
2019-07-29,62.2,1.0927,8284938.0,82.054
2019-07-30,62.9,1.0999,10801348.0,82.054
2019-07-31,62.7,1.1026,15278042.0,82.054
2019-08-01,61.28,1.1122,25190596.0,82.054
2019-08-02,60.4,1.0867,21699934.0,82.054
2019-08-04,60.4,1.0867,21699934.0,83.743
2019-08-05,58.6,1.0596,27576891.0,83.743
2019-08-06,58.53,1.1949,16997506.0,83.743
2019-08-07,58.09,1.1833,24802188.0,83.743
2019-08-08,59.76,1.1308,23267835.0,83.743
2019-08-09,59.1,1.0898,14593219.0,83.743
2019-08-11,59.1,1.0898,14593219.0,80.394
