ticker,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-31,11.13,21.37,470.81,15.7213,1.6707,1.1542,4.71,6.3608
2019-02-01,11.12,21.37,479.44,16.0095,1.7013,1.1753,4.62,6.2463
2019-02-04,10.7,21.37,480.26,16.0696,1.7042000000000002,1.1773,4.62,6.2229
2019-02-05,10.71,21.37,481.05,16.096,1.7069999999999999,1.1793,4.61,6.2127
2019-02-06,10.69,21.37,477.37,15.9729,1.694,1.1703000000000001,4.64,6.2606
2019-02-07,10.64,21.37,467.21,15.6329,1.6579000000000002,1.1454,4.74,6.3967
2019-02-08,10.5,21.37,463.84,15.520199999999999,1.646,1.1371,4.78,6.4432
2019-02-11,10.52,21.37,465.97,15.5922,1.6535,1.1423,4.76,6.4135
2019-02-12,10.52,21.37,471.49,15.7769,1.6731,1.1558,4.7,6.3384
2019-02-13,78.11,21.37,477.57,15.9804,1.6916,1.1707,4.64,6.2577
2019-02-14,82.16,21.37,478.3,16.0048,1.6942,1.1724999999999999,4.64,6.2481
2019-02-15,28.53,21.29,485.89,16.3585,1.7206000000000001,1.1904,4.59,6.113
2019-02-18,28.85,21.29,485.89,16.3585,1.7206000000000001,1.1904,4.59,6.113
2019-02-19,29.31,21.29,487.3,16.3723,1.7256,1.1938,4.58,6.1079
2019-02-20,23.51,21.18,489.38,16.4384,1.733,1.1993,4.55,6.0833
2019-02-21,22.91,21.18,481.81,16.1841,1.7062,1.1808,4.62,6.1789
2019-02-22,22.3,21.18,483.41,16.2378,1.7119,1.1847,4.61,6.1585
2019-02-25,23.14,21.18,484.13,16.262,1.7144,1.1864,4.6,6.1493
2019-02-26,23.1,21.18,482.79,16.217,1.7097,1.1832,4.62,6.1664
2019-02-27,26.9,21.18,484.65,16.2795,1.7162,1.1877,4.6,6.1427
2019-02-28,26.15,21.18,479.94,16.1213,1.6996,1.1762,4.64,6.203
2019-03-01,32.02,21.19,488.65,16.4111,1.7305000000000001,1.1977,4.5600000000000005,6.0935
2019-03-04,31.51,21.19,489.64,16.4383,1.7342,1.1999,4.55,6.0834
2019-03-05,31.65,21.19,488.11,16.3851,1.7288000000000001,1.1961,4.57,6.1031
2019-03-06,33.54,21.19,481.88,16.1759,1.7067,1.1809,4.62,6.182
2019-03-07,33.5,21.19,479.13,16.0836,1.697,1.1741,4.65,6.2175
2019-03-08,31.44,21.19,469.77,15.7694,1.6638,1.1512,4.74,6.3414
2019-03-11,31.75,21.19,476.99,16.0118,1.6894,1.1689,4.67,6.2454
2019-03-12,30.97,21.19,479.75,16.1044,1.6992,1.1757,4.64,6.2095
2019-03-13,30.82,21.19,484.96,16.2793,1.7176,1.1884000000000001,4.59,6.1428
2019-03-14,31.07,21.19,485.24,16.2887,1.7186,1.1891,4.59,6.1392
2019-03-15,31.24,21.19,484.84,16.2753,1.7172,1.1881,4.6,6.1443
2019-03-18,32.58,21.2,491.57,16.5298,1.7407,1.2092,4.52,6.0497
2019-03-19,8.7,21.2,490.15,16.482,1.7357,1.2057,4.53,6.0672
2019-03-20,8.82,21.2,494.51,16.6286,1.7511,1.2164,4.49,6.0137
2019-03-21,10.45,21.2,497.92,16.7433,1.7631999999999999,1.2248,4.46,5.9725
2019-03-22,10.46,21.2,484.86,16.3041,1.717,1.1927,4.58,6.1334
2019-03-25,10.45,21.2,484.83,16.3031,1.7168,1.1926,4.58,6.1338
2019-03-26,10.59,21.2,491.84,16.5388,1.7417,1.2098,4.52,6.0464
2019-03-27,10.57,21.2,488.39,16.4228,1.7295,1.2013,4.55,6.0891
2019-03-28,11.62,21.2,490.21,16.484,1.7359,1.2058,4.53,6.0665
2019-03-29,11.57,21.2,489.45,16.4585,1.7332,1.204,4.54,6.0759
2019-04-01,11.44,22.9,496.14,17.5115,1.7588,1.2252,4.19,5.7105
2019-04-02,11.39,22.9,492.66,17.3887,1.7465000000000002,1.2166,4.22,5.7509
2019-04-03,11.4,22.9,487.93,17.2218,1.7297,1.2049,4.26,5.8065999999999995
2019-04-04,11.39,22.9,492.11,17.3693,1.7446000000000002,1.2153,4.22,5.7573
2019-04-05,11.72,22.9,500.45,17.6637,1.7741,1.2359,4.15,5.6613
2019-04-08,11.79,22.9,502.9,17.7501,1.7828,1.2419,4.13,5.6338
2019-04-09,11.74,22.9,496.42,17.5214,1.7598,1.2259,4.19,5.7073
2019-04-10,11.71,22.9,498.51,17.5952,1.7671999999999999,1.2311,4.17,5.6834
2019-04-11,11.61,22.9,498.68,17.6012,1.7678,1.2315,4.17,5.6814
2019-04-12,9.92,22.9,499.6,17.6337,1.7711000000000001,1.2338,4.16,5.671
2019-04-15,18.27,22.9,496.76,17.5334,1.7610000000000001,1.2267000000000001,4.18,5.7034
2019-04-16,18.37,22.9,499.94,17.6457,1.7723,1.2346,4.16,5.6671
2019-04-17,17.85,22.9,499.51,17.6305,1.7708,1.2335,4.16,5.672
2019-04-18,17.54,22.9,496.88,17.5385,1.7614999999999998,1.227,4.18,5.7017
2019-04-19,17.54,22.9,496.88,17.5385,1.7614999999999998,1.227,4.18,5.7017
2019-04-22,17.25,22.9,507.08,17.8903,1.7976,1.2522,4.1,5.5896
2019-04-23,17.04,22.9,507.26,17.8967,1.7983,1.2527,4.1,5.5876
2019-04-24,185.54,22.9,497.89,17.5661,1.7650000000000001,1.2295,4.17,5.6928
2019-04-25,161.84,22.9,496.5,17.517,1.7601,1.2261,4.18,5.7087
2019-04-26,198.25,22.9,490.47,17.3043,1.7387000000000001,1.2112,4.3,5.7789
2019-04-29,11.57,22.9,489.24,17.2609,1.7344,1.2082,4.33,5.7934
2019-04-30,12.64,22.9,489.38,17.2637,1.7349,1.2085,4.26,5.7925
2019-05-01,12.82,22.9,478.74,16.8883,1.6972,1.1822,4.36,5.9213000000000005
2019-05-02,18.36,22.9,470.54,16.5991,1.6681,1.162,4.43,6.0244
2019-05-03,18.88,22.9,474.5,16.7387,1.6821000000000002,1.1718,4.39,5.9742
2019-05-06,19.85,22.89,474.19,16.7227,1.681,1.1708,4.4,5.9799
2019-05-07,6.25,22.89,471.23,16.6183,1.6705,1.1635,4.43,6.0175
2019-05-08,6.24,22.89,470.95,16.6018,1.6696,1.1633,4.43,6.0235
2019-05-09,6.27,22.89,471.27,16.613,1.6707,1.1641,4.43,6.0194
2019-05-10,6.26,22.89,471.66,16.6268,1.6721,1.165,4.43,6.0144
2019-05-13,6.33,22.89,464.19,16.3635,1.6456,1.1466,4.5,6.1112
2019-05-14,6.33,22.89,469.26,16.5422,1.6636,1.1591,4.45,6.0452
2019-05-15,6.35,22.89,471.42,16.6183,1.6712,1.1644,4.43,6.0175
2019-05-16,6.33,22.89,473.19,16.6807,1.6775,1.1688,4.42,5.9949
2019-05-17,6.38,22.89,468.23,16.5059,1.6599,1.1566,4.46,6.0585
2019-05-20,6.38,22.89,468.55,16.5172,1.661,1.1573,4.46,6.0543
2019-05-21,6.36,22.89,473.58,16.6945,1.6789,1.1698,4.41,5.99
2019-05-22,6.34,22.89,466.1,16.4308,1.6524,1.1513,4.48,6.0861
2019-05-23,8.43,22.89,451.53,15.9172,1.6007,1.1153,4.63,6.2825
2019-05-24,8.42,22.89,452.22,15.9415,1.6032,1.117,4.62,6.2729
2019-05-27,8.42,22.89,452.22,15.9415,1.6032,1.117,4.62,6.2729
