ticker,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-31,9.32,31.03,1047.87,20.4663,4.2759,1.792,5.19,4.8861
2019-02-01,9.36,31.03,1050.21,20.512,4.2855,1.796,5.18,4.8751999999999995
2019-02-04,10.38,31.02,1046.61,20.4415,4.2707,1.7899,5.24,4.892
2019-02-05,11.3,31.02,1045.77,20.4645,4.2673,1.7884,5.24,4.8865
2019-02-06,11.31,31.02,1049.57,20.5388,4.2829,1.795,5.19,4.8688
2019-02-07,11.17,31.02,1038.49,20.3204,4.2377,1.776,5.24,4.9212
2019-02-08,11.07,31.0,1040.39,20.3465,4.2411,1.7763,5.23,4.9149
2019-02-11,11.22,31.02,1039.02,20.3155,4.2367,1.7755999999999998,5.24,4.9223
2019-02-12,11.1,31.02,1052.99,20.5887,4.2937,1.7995,5.17,4.857
2019-02-13,11.11,31.02,1055.58,20.6393,4.3042,1.8039,5.16,4.8451
2019-02-14,11.08,31.02,1058.05,20.6876,4.3143,1.8081,5.15,4.8338
2019-02-15,11.1,31.05,1073.62,20.7953,4.3778,1.8348,5.07,4.8088
2019-02-18,11.1,31.05,1073.62,20.7953,4.3778,1.8348,5.07,4.8088
2019-02-19,10.92,31.05,1070.95,20.7435,4.3669,1.8302,5.09,4.8208
2019-02-20,10.8,30.95,1069.57,20.7228,4.3613,1.8285,5.09,4.8256
2019-02-21,10.76,30.95,1060.16,20.5405,4.3229,1.8125,5.14,4.8684
2019-02-22,10.74,30.95,1070.06,20.7362,4.3633,1.8302,5.09,4.8225
2019-02-25,10.64,30.95,1070.57,20.7552,4.3654,1.8317999999999999,5.09,4.8181
2019-02-26,10.67,30.97,1067.19,20.6937,4.3516,1.826,5.11,4.8324
2019-02-27,10.67,30.97,1061.97,20.5934,4.3303,1.817,5.13,4.8559
2019-02-28,10.51,30.97,1058.77,20.5313,4.3172,1.8115999999999999,5.15,4.8706
2019-03-01,10.62,30.97,1073.74,20.8216,4.3783,1.8372000000000002,5.07,4.8027
2019-03-04,10.61,30.97,1059.39,20.5433,4.3198,1.8126,5.14,4.8678
2019-03-05,10.58,30.97,1058.64,20.5288,4.3167,1.8113000000000001,5.15,4.8712
2019-03-06,10.43,30.97,1043.04,20.2263,4.2531,1.7847,5.22,4.9441
2019-03-07,10.52,30.97,1034.76,20.0657,4.2193,1.7705,5.27,4.9836
2019-03-08,10.57,30.97,1032.22,20.0165,4.209,1.7661,5.28,4.9959
2019-03-11,10.61,30.97,1044.33,20.2513,4.2584,1.7869000000000002,5.22,4.938
2019-03-12,10.66,30.97,1051.32,20.3868,4.2869,1.7988,5.18,4.9051
2019-03-13,10.67,30.97,1062.93,20.612,4.3342,1.8187,5.13,4.8515
2019-03-14,10.63,30.97,1060.23,20.5596,4.3232,1.8141,5.14,4.8639
2019-03-15,10.63,30.97,1065.44,20.6606,4.3444,1.823,5.11,4.8401
2019-03-18,10.64,30.97,1063.83,20.6433,4.3327,1.8162,5.13,4.8442
2019-03-19,8.62,30.97,1072.17,20.8052,4.3666,1.8304,5.09,4.8065
2019-03-20,8.61,30.97,1064.97,20.6655,4.3373,1.8181,5.12,4.839
2019-03-21,8.61,30.97,1068.66,20.7371,4.3523,1.8244,5.1,4.8223
2019-03-22,8.52,30.97,1049.44,20.3641,4.2741,1.7915999999999999,5.2,4.9106
