ticker,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-31,7.06,37.07,547.94,18.6338,5.2264,1.3957,4.63,5.3666
2019-02-01,7.06,37.07,546.48,18.5842,5.2125,1.3919000000000001,4.64,5.3809000000000005
2019-02-04,7.06,37.09,549.8,18.8466,5.2403,1.4007,4.61,5.306
2019-02-05,7.03,37.09,549.7,18.8431,5.2393,1.4003999999999999,4.61,5.307
2019-02-06,7.02,37.09,550.05,18.8426,5.2426,1.4013,4.61,5.3071
2019-02-07,6.64,37.09,549.64,18.8411,5.2387,1.4002,4.61,5.3076
2019-02-08,6.61,37.09,552.62,18.93,5.2671,1.4078,4.59,5.2826
2019-02-11,4.83,37.09,553.8,18.9704,5.2783999999999995,1.4108,4.58,5.2714
2019-02-12,4.8,37.09,558.65,19.1365,5.3246,1.4232,4.54,5.2256
2019-02-13,4.95,37.09,560.05,19.1638,5.3379,1.4268,4.52,5.2182
2019-02-14,4.26,37.09,553.24,18.9323,5.273,1.4094,4.57,5.282
2019-02-15,4.15,37.09,558.54,19.1137,5.3236,1.4229,4.53,5.2318
2019-02-18,4.15,37.13,558.54,19.1137,5.3236,1.4229,4.53,5.2318
2019-02-19,4.18,37.13,561.32,19.1684,5.338,1.4272,4.48,5.2169
2019-02-20,4.17,37.13,560.9,19.1541,5.334,1.4261,4.49,5.2208
2019-02-21,4.17,37.13,562.47,19.2077,5.349,1.4301,4.48,5.2063
2019-02-22,4.37,37.13,560.87,19.153,5.3338,1.4261,4.49,5.2211
2019-02-25,4.38,37.04,558.0,19.0592,5.2886,1.4182000000000001,4.51,5.2468
2019-02-26,4.32,37.04,558.24,19.0674,5.2909,1.4188,4.51,5.2446
2019-02-27,4.31,37.04,557.75,19.0506,5.2863,1.4176,4.51,5.2492
2019-02-28,4.32,37.14,559.56,19.1361,5.284,1.4183,4.43,5.2257
2019-03-01,4.31,37.14,558.61,19.1036,5.275,1.4159,4.44,5.2346
2019-03-04,4.31,37.14,557.96,19.0838,5.2689,1.4143,4.44,5.2401
2019-03-05,4.28,37.14,557.73,19.0759,5.2667,1.4137,4.44,5.2422
2019-03-06,4.29,37.14,557.19,19.0574,5.2616,1.4123,4.45,5.2473
2019-03-07,4.22,37.14,554.07,18.9507,5.2321,1.4043999999999999,4.47,5.2768
2019-03-08,4.25,37.14,554.75,18.9731,5.2386,1.4061,4.47,5.2706
2019-03-11,4.25,37.14,562.12,19.2252,5.3082,1.4248,4.41,5.2015
2019-03-12,4.29,37.14,561.99,19.2207,5.3069,1.4245,4.41,5.2027
2019-03-13,4.28,37.14,565.93,19.3555,5.3441,1.4344999999999999,4.38,5.1665
2019-03-14,4.2,37.14,564.34,19.3011,5.3291,1.4304000000000001,4.39,5.181
2019-03-15,4.19,37.14,567.16,19.3976,5.3558,1.4376,4.37,5.1553
2019-03-18,4.16,37.14,568.68,19.4536,5.3675,1.4415,4.36,5.1404
2019-03-19,4.1,37.14,567.99,19.43,5.361,1.4398,4.36,5.1467
2019-03-20,4.11,37.14,565.82,19.3558,5.3406,1.4343,4.38,5.1664
2019-03-21,4.09,37.14,572.56,19.5864,5.4042,1.4514,4.33,5.1056
2019-03-22,4.11,37.14,571.22,19.5405,5.3915,1.448,4.34,5.1176
2019-03-25,4.09,37.3,571.15,19.5292,5.3954,1.4472,4.39,5.1205
2019-03-26,4.09,37.3,576.02,19.6957,5.4414,1.4596,4.35,5.0772
2019-03-27,4.09,37.3,573.72,19.6171,5.4197,1.4538,4.37,5.0976
2019-03-28,4.06,37.3,576.14,19.6998,5.4425,1.4599,4.35,5.0762
2019-03-29,4.04,37.31,580.11,19.8325,5.4682,1.4693,4.32,5.0422
2019-04-01,4.03,37.69,578.9,19.7323,5.4344,1.4656,4.37,5.0678
2019-04-02,4.01,37.69,574.01,19.5656,5.3885,1.4532,4.41,5.111
2019-04-03,4.02,37.69,570.42,19.4433,5.3548,1.4441,4.43,5.1432
2019-04-04,4.0,37.69,572.51,19.514499999999998,5.3744,1.4494,4.42,5.1244
2019-04-05,4.0,37.69,574.07,19.5677,5.389,1.4534,4.41,5.1105
2019-04-08,2.35,37.69,576.53,19.6515,5.4121,1.4596,4.39,5.0887
2019-04-09,2.38,37.69,575.66,19.6219,5.404,1.4574,4.39,5.0964
2019-04-10,2.38,37.69,577.51,19.6849,5.4213000000000005,1.4621,4.38,5.08
2019-04-11,2.37,37.69,578.16,19.7071,5.4274000000000004,1.4638,4.38,5.0743
2019-04-12,2.36,37.69,579.79,19.7626,5.4427,1.4679,4.36,5.0601
2019-04-15,2.36,37.69,583.78,19.8991,5.4802,1.478,4.36,5.0254
2019-04-16,2.37,37.69,583.44,19.8875,5.477,1.4771,4.36,5.0283
2019-04-17,2.37,37.69,585.56,19.9598,5.4969,1.4825,4.35,5.0101
2019-04-18,2.33,37.69,585.35,19.9514,5.4949,1.482,4.35,5.0122
2019-04-19,2.33,37.69,585.35,19.9514,5.4949,1.482,4.35,5.0122
2019-04-22,2.37,37.69,585.13,19.9439,5.4929,1.4814,4.35,5.0141
2019-04-23,2.36,37.69,584.46,19.9211,5.4866,1.4797,4.36,5.0198
2019-04-24,2.34,37.69,584.96,19.9382,5.4913,1.4809999999999999,4.35,5.0155
2019-04-25,2.33,37.69,580.6,19.7895,5.4503,1.4699,4.39,5.0532
2019-04-26,2.29,37.69,585.93,19.9707,5.5004,1.4834,4.35,5.0073
2019-04-29,2.29,37.67,586.44,19.9879,5.5041,1.4845,4.35,5.003
2019-04-30,2.3,38.2,593.64,20.2304,5.6056,1.4996,4.24,4.9431
2019-05-01,2.37,38.2,586.68,19.9932,5.5399,1.4821,4.29,5.0017
2019-05-02,2.36,38.2,586.12,19.9741,5.5346,1.4807000000000001,4.29,5.0065
2019-05-03,4.99,38.2,590.44,20.1214,5.5754,1.4916,4.26,4.9698
2019-05-06,4.95,38.2,589.48,20.0689,5.5663,1.4891,4.4,4.9828
2019-05-07,4.9399999999999995,38.2,583.58,19.8681,5.5106,1.4742,4.44,5.0332
2019-05-08,7.04,38.2,582.69,19.8378,5.5022,1.472,4.45,5.0409
2019-05-09,7.04,38.2,581.44,19.7952,5.4904,1.4687999999999999,4.46,5.0517
