ticker,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-31,13.56,43.22,861.4473,22.5313,7.2344,1.6006,4.67,4.4383
2019-02-01,13.29,43.33,846.1648,22.0606,7.1414,1.5707,4.74,4.533
2019-02-04,12.6,43.77,851.5496,22.0419,7.266,1.5746,4.75,4.5368
2019-02-05,12.65,43.77,859.7015,22.2529,7.3356,1.5897000000000001,4.71,4.4938
2019-02-06,18.86,43.77,855.28,22.1324,7.2979,1.5815000000000001,4.73,4.5183
2019-02-07,19.32,43.77,847.8058,21.9389,7.2341,1.5676999999999999,4.78,4.5581
2019-02-08,19.19,43.77,843.5143,21.8336,7.1975,1.5596999999999999,4.8,4.5801
2019-02-11,19.13,43.77,845.0375,21.8794,7.2094,1.5628,4.78,4.5705
2019-02-12,18.67,43.77,859.0641,22.2426,7.329,1.5888,4.7,4.4959
2019-02-13,18.74,43.77,864.3728,22.38,7.3743,1.5986,4.67,4.4683
2019-02-14,17.47,43.77,860.5701,22.2816,7.3419,1.5916000000000001,4.7,4.4879999999999995
2019-02-15,18.08,43.77,865.0731,22.3982,7.3803,1.5998999999999999,4.6,4.4647
2019-02-18,18.08,43.77,865.0731,22.3982,7.3803,1.5998999999999999,4.6,4.4647
2019-02-19,16.61,43.77,869.1685,22.5042,7.4152000000000005,1.6075,4.63,4.4436
2019-02-20,16.57,43.77,870.3557,22.5349,7.4254,1.6097000000000001,4.62,4.4376
2019-02-21,16.52,43.77,868.6071,22.4897,7.4105,1.6064,4.58,4.4465
2019-02-22,16.48,43.77,873.6672,22.6207,7.4536,1.6158000000000001,4.55,4.4207
2019-02-25,16.51,43.77,870.9775,22.5484,7.4289,1.6107,4.57,4.4349
2019-02-26,13.43,43.77,872.2806,22.5821,7.44,1.6131,4.5600000000000005,4.4283
2019-02-27,13.73,43.88,871.934,22.6467,7.5398,1.6263999999999998,4.57,4.4157
2019-02-28,13.6,43.96,867.03,22.5289,7.487,1.6153,4.55,4.4388
2019-03-01,13.63,43.96,874.9702,22.7352,7.5556,1.6301,4.51,4.3985
2019-03-04,13.75,43.96,873.5606,22.6986,7.5434,1.6275,4.52,4.4056
2019-03-05,13.75,43.96,875.3281,22.7445,7.5587,1.6308,4.51,4.3967
2019-03-06,13.68,43.96,870.4202,22.617,7.5163,1.6217000000000001,4.53,4.4215
2019-03-07,13.95,43.96,858.4592,22.3062,7.413,1.5994000000000002,4.6,4.4831
2019-03-08,13.96,43.96,852.8169,22.1531,7.3643,1.5889,4.63,4.514
2019-03-11,14.08,43.96,865.855,22.4917,7.4769,1.6132,4.5600000000000005,4.4461
2019-03-12,14.07,43.96,867.8593,22.5438,7.4942,1.6169,4.55,4.4358
2019-03-13,14.11,43.96,871.2105,22.6309,7.5231,1.6231,4.53,4.4187
2019-03-14,14.09,43.96,868.5033,22.5605,7.4997,1.6181,4.54,4.4325
2019-03-15,14.1,43.96,874.6672,22.7207,7.553,1.6296,4.51,4.4013
2019-03-18,14.15,43.96,883.851,23.0097,7.6519,1.6461999999999999,4.46,4.346
2019-03-19,14.15,43.96,888.2612,23.1246,7.6901,1.6543999999999999,4.44,4.3244
2019-03-20,14.2,43.96,891.5723,23.2108,7.7188,1.6606,4.49,4.3083
2019-03-21,14.2,43.96,903.3781,23.5181,7.821,1.6825999999999999,4.43,4.252
2019-03-22,14.06,43.96,884.8417,23.0355,7.6605,1.6481,4.53,4.3411
2019-03-25,14.05,43.96,889.7939,23.1672,7.7034,1.6578,4.5,4.3164
2019-03-26,14.06,43.96,893.7146,23.2693,7.7373,1.6651,4.48,4.2975
2019-03-27,13.99,43.96,891.4163,23.2095,7.7174,1.6608,4.49,4.3086
2019-03-28,13.98,43.96,896.5837,23.3449,7.7622,1.6705,4.47,4.2836
2019-03-29,13.99,43.96,901.2028,23.4626,7.8022,1.6791,4.44,4.2621
2019-04-01,13.57,46.37,911.7748,23.3799,7.8558,1.6881,4.57,4.2772
2019-04-02,13.58,46.37,911.5427,23.3739,7.8538,1.6876,4.57,4.2783
2019-04-03,13.79,46.37,917.9919,23.5393,7.9094,1.6996,4.54,4.2482
2019-04-04,13.73,46.37,924.4875,23.7058,7.9653,1.7116,4.51,4.2184
2019-04-05,13.75,46.37,930.2889,23.8546,8.0153,1.7224,4.48,4.1921
2019-04-08,13.74,46.37,933.9143,23.9396,8.0465,1.7290999999999999,4.46,4.1772
2019-04-09,13.74,46.37,925.4658,23.7231,7.9737,1.7134,4.51,4.2153
2019-04-10,13.77,46.37,929.9766,23.8387,8.0126,1.7218,4.48,4.1949
2019-04-11,13.77,46.37,931.126,23.8681,8.0225,1.7239,4.48,4.1897
2019-04-12,13.7,46.37,936.2396,23.9992,8.0666,1.7334,4.45,4.1668
2019-04-15,13.68,46.37,938.1584,24.1175,8.0831,1.7425000000000002,4.41,4.1464
2019-04-16,13.69,46.37,942.6445,24.2328,8.1218,1.7509000000000001,4.39,4.1266
2019-04-17,13.7,46.37,944.4744,24.2798,8.1375,1.7543,4.38,4.1187
2019-04-18,13.69,46.37,943.9739,24.2681,8.1332,1.7532999999999999,4.39,4.1206
2019-04-19,13.69,46.37,943.9739,24.2681,8.1332,1.7532999999999999,4.39,4.1206
2019-04-22,13.75,46.46,941.9344,24.2097,8.1148,1.7494,4.4,4.1306
2019-04-23,13.8,46.46,953.4045,24.5045,8.2136,1.7707000000000002,4.35,4.0809
2019-04-24,13.75,46.46,953.133,24.4975,8.2113,1.7702,4.35,4.082
2019-04-25,13.8,46.46,948.5968,24.3809,8.1722,1.7617,4.37,4.1016
2019-04-26,14.02,46.46,957.3907,24.6049,8.248,1.7781,4.26,4.0642
