ticker,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-02-01,7.55,28.36,335.49,14.6094,2.1564,1.5145,4.21,6.8449
2019-02-04,7.44,28.36,334.73,14.6202,2.1515,1.5145,4.19,6.8399
2019-02-05,7.4,28.36,337.41,14.7344,2.1687,1.5264,4.16,6.7869
2019-02-06,7.42,28.36,335.12,14.6414,2.154,1.5167000000000002,4.19,6.8299
2019-02-07,7.21,28.36,330.47,14.4454,2.1241,1.4964,4.25,6.9226
2019-02-08,7.5600000000000005,28.36,330.3,15.3127,2.123,1.5243,4.75,6.5305
2019-02-11,7.5600000000000005,28.36,330.92,15.3443,2.127,1.5274999999999999,4.74,6.5171
2019-02-12,7.51,28.36,338.35,15.6466,2.1747,1.5575999999999999,4.65,6.3911999999999995
2019-02-13,7.5,28.36,338.7,15.6681,2.177,1.5596999999999999,4.64,6.3824
2019-02-14,7.54,28.36,336.83,15.5809,2.165,1.5510000000000002,4.67,6.4181
2019-02-15,7.39,28.36,341.41,15.7964,2.1944,1.5725,4.6,6.3305
2019-02-18,7.39,28.36,341.41,15.7964,2.1944,1.5725,4.6,6.3305
2019-02-19,7.46,28.36,343.39,15.9155,2.2071,1.5844,4.57,6.2832
2019-02-20,7.44,28.36,349.18,16.1902,2.2443,1.6117,4.49,6.1766
2019-02-21,6.71,28.36,347.76,16.0948,2.2352,1.6021999999999998,4.52,6.2132
2019-02-22,6.72,28.36,349.17,16.1368,2.2443,1.6064,4.51,6.197
2019-02-25,6.86,28.36,351.44,16.2419,2.2589,1.6168,4.48,6.1569
2019-02-26,6.89,28.36,349.35,16.1399,2.2454,1.6067,4.5,6.1958
2019-02-27,6.9,28.36,348.46,16.0817,2.2397,1.6009,4.52,6.2183
2019-02-28,6.9,28.36,344.05,15.8625,2.2114,1.5791,4.58,6.3042
