ticker,XLC US Equity,XLC US Equity,XLC US Equity,XLC US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-03-07,46.2,0.8545,3377663.0,65.062
2019-03-08,46.17,0.8583,2566532.0,65.062
2019-03-10,46.17,0.8583,2566532.0,63.351
2019-03-11,47.0,0.8593,3593956.0,63.351
2019-03-12,47.21,0.8555,8112516.0,63.351
2019-03-13,47.35,0.8911,3486930.0,63.351
2019-03-14,47.14,0.7758,3539793.0,63.351
2019-03-15,47.02,0.7239,6868919.0,63.351
2019-03-17,47.02,0.7239,6868919.0,58.755
2019-03-18,46.62,0.7541,2807178.0,58.755
2019-03-19,46.7,0.8354,3570831.0,58.755
2019-03-20,47.12,0.8173,7390659.0,58.755
2019-03-21,47.74,0.8149,3183231.0,58.755
2019-03-22,46.97,0.8228,5174553.0,58.755
2019-03-24,46.97,0.8228,5174553.0,55.707
2019-03-25,46.89,1.3597000000000001,2408462.0,55.707
2019-03-26,47.12,1.3824,2488623.0,55.707
2019-03-27,46.78,1.3807,2465669.0,55.707
2019-03-28,46.67,1.3117,1891058.0,55.707
2019-03-29,46.77,1.3103,2542940.0,55.707
2019-03-31,46.77,1.3103,2542940.0,56.326
2019-04-01,47.48,1.3096,4249696.0,56.326
2019-04-02,47.73,1.3173,3323320.0,56.326
2019-04-03,47.91,1.4801,2303606.0,56.326
2019-04-04,48.18,1.5663,2788097.0,56.326
2019-04-05,48.32,1.5624,2379713.0,56.326
2019-04-07,48.32,1.5624,2379713.0,56.784
2019-04-08,48.23,1.4595,2340485.0,56.784
2019-04-09,48.36,1.4699,4872773.0,56.784
2019-04-10,48.57,1.5245,2265200.0,56.784
2019-04-11,48.6,1.5232,2115284.0,56.784
2019-04-12,49.02,1.5776,4894102.0,56.784
2019-04-14,49.02,1.5776,4894102.0,54.424
2019-04-15,48.98,1.2417,2345662.0,54.424
2019-04-16,49.03,1.2585,2157025.0,54.424
2019-04-17,49.12,1.2568,2826297.0,54.424
2019-04-18,49.15,1.2334,1755096.0,54.424
2019-04-21,49.15,1.2334,1755096.0,53.858
2019-04-22,49.37,1.3065,2126751.0,53.858
2019-04-23,50.03,0.8024,3929785.0,53.858
2019-04-24,49.8,0.8044,3311823.0,53.858
2019-04-25,50.36,1.0964,3064706.0,53.858
2019-04-26,50.76,0.9471,2076597.0,53.858
2019-04-28,50.76,0.9471,2076597.0,54.47
2019-04-29,51.22,0.949,1341001.0,54.47
2019-04-30,50.07,0.9079,3197065.0,54.47
2019-05-01,49.81,0.8527,4262654.0,54.47
2019-05-02,49.61,0.8508,4680813.0,54.47
2019-05-03,50.09,0.9094,2050371.0,54.47
2019-05-05,50.09,0.9094,2050371.0,54.0
2019-05-06,50.01,0.9014,3159766.0,54.0
2019-05-07,49.2,0.8839,4342135.0,54.0
2019-05-08,49.12,0.9131,3453555.0,54.0
2019-05-09,48.97,0.9189,4241518.0,54.0
2019-05-10,49.11,0.8723,2900464.0,54.0
2019-05-12,49.11,0.8723,2900464.0,56.417
2019-05-13,47.59,0.9317,8210994.0,56.417
2019-05-14,47.86,0.9215,5332139.0,56.417
2019-05-15,48.93,0.9159,7292697.0,56.417
2019-05-16,49.36,0.9564,4627211.0,56.417
2019-05-17,49.0,0.9808,3663042.0,56.417
2019-05-19,49.0,0.9808,3663042.0,98.68
2019-05-20,48.19,1.0161,3854146.0,98.68
2019-05-21,48.72,0.6747,3023917.0,98.68
2019-05-22,48.67,0.672,2793666.0,98.68
2019-05-23,47.99,0.6715,2570184.0,98.68
2019-05-24,47.98,0.6746,3442275.0,98.68
2019-05-26,47.98,0.6746,3442275.0,97.602
2019-05-28,48.19,0.6734,2793395.0,97.602
2019-05-29,47.72,0.6711,2512628.0,97.602
2019-05-30,47.83,0.6737,2520601.0,97.602
2019-05-31,47.09,0.6739,2484754.0,97.602
2019-06-02,47.09,0.6739,2484754.0,98.59
2019-06-03,45.61,0.676,7155262.0,98.59
2019-06-04,46.59,0.7271,7110701.0,98.59
2019-06-05,46.61,0.6999,5526442.0,98.59
2019-06-06,46.81,0.7011,3175946.0,98.59
2019-06-07,47.57,0.7027,3345617.0,98.59
2019-06-09,47.57,0.7027,3345617.0,100.908
2019-06-10,47.53,0.7103,5163142.0,100.908
2019-06-11,47.73,0.7183,2869785.0,100.908
2019-06-12,47.5,0.7303,2459445.0,100.908
2019-06-13,48.03,0.7316,6500352.0,100.908
2019-06-14,48.12,0.7283,2734861.0,100.908
2019-06-16,48.12,0.7283,2734861.0,97.385
2019-06-17,48.67,0.7407,4248719.0,97.385
2019-06-18,48.94,0.7331,3843476.0,97.385
2019-06-19,49.0,0.7409,3319391.0,97.385
2019-06-20,49.31,0.9325,3340039.0,97.385
2019-06-21,49.4,1.0264,10006593.0,97.385
2019-06-23,49.4,1.0264,10006593.0,92.709
2019-06-24,49.52,1.1042,5236915.0,92.709
2019-06-25,48.6,1.2322,2431906.0,92.709
2019-06-26,48.41,1.2185,2380869.0,92.709
2019-06-27,48.75,1.1486,1984694.0,92.709
2019-06-28,49.22,1.2421,6084861.0,92.709
2019-06-30,49.22,1.2421,6084861.0,90.885
2019-07-01,49.62,1.1853,2862199.0,90.885
2019-07-02,50.08,1.1821,2336936.0,90.885
2019-07-03,50.34,1.1717,1260732.0,90.885
2019-07-05,50.41,1.1616,3006148.0,90.885
2019-07-07,50.41,1.1616,3006148.0,90.933
2019-07-08,49.96,1.1123,1152827.0,90.933
2019-07-09,50.27,1.1046,1714914.0,90.933
2019-07-10,50.84,1.1163,2294356.0,90.933
2019-07-11,50.87,1.5521,5463254.0,90.933
2019-07-12,51.24,1.5228000000000002,2621837.0,90.933
2019-07-14,51.24,1.5228000000000002,2621837.0,91.688
2019-07-15,51.25,1.5219,4075940.0,91.688
2019-07-16,51.13,1.5087000000000002,2540815.0,91.688
2019-07-17,50.65,1.5112999999999999,4760730.0,91.688
2019-07-18,50.24,1.4509,1813807.0,91.688
2019-07-19,49.59,1.4872,1979625.0,91.688
2019-07-21,49.59,1.4872,1979625.0,90.689
2019-07-22,49.78,1.5077,2391482.0,90.689
2019-07-23,49.97,0.7737,2624714.0,90.689
2019-07-24,50.41,0.7939,1840743.0,90.689
2019-07-25,50.28,0.8997,2192551.0,90.689
2019-07-26,51.72,0.917,5049654.0,90.689
2019-07-28,51.72,0.917,5049654.0,90.23
2019-07-29,51.43,1.3958,2582438.0,90.23
2019-07-30,51.19,1.1545,2099863.0,90.23
2019-07-31,50.78,1.6686,2090751.0,90.23
2019-08-01,50.54,1.7701,4095730.0,90.23
2019-08-02,50.05,1.9127,4656187.0,90.23
2019-08-04,50.05,1.9127,4656187.0,91.155
2019-08-05,48.43,1.9178,6248204.0,91.155
2019-08-06,49.13,1.8559,6548204.0,91.155
2019-08-07,49.19,1.8114,3323332.0,91.155
2019-08-08,50.18,1.786,2456676.0,91.155
2019-08-09,49.62,1.7948,1841493.0,91.155
2019-08-11,49.62,1.7948,1841493.0,94.73
2019-08-12,49.07,1.7887,3759252.0,94.73
2019-08-13,49.81,1.7868,4091723.0,94.73
2019-08-14,48.04,1.8096999999999999,4532857.0,94.73
2019-08-15,48.12,1.8089,3998562.0,94.73
2019-08-16,48.74,2.4011,2509821.0,94.73
2019-08-18,48.74,2.4011,2509821.0,97.307
2019-08-19,49.5,2.0794,2173748.0,97.307
2019-08-20,49.17,2.6748,2156604.0,97.307
2019-08-21,49.36,3.0045,2792315.0,97.307
2019-08-22,49.25,3.1203,1649072.0,97.307
2019-08-23,47.9,3.1114,4020743.0,97.307
2019-08-25,47.9,3.1114,4020743.0,98.645
2019-08-26,48.62,3.1286,3155411.0,98.645
2019-08-27,48.71,3.1871,3139102.0,98.645
2019-08-28,48.83,3.1874000000000002,2155665.0,98.645
2019-08-29,49.59,3.0704,2168997.0,98.645
2019-08-30,49.53,3.0519,3045516.0,98.645
2019-09-01,49.53,3.0519,3045516.0,97.454
2019-09-03,49.04,3.0639,3142917.0,97.454
2019-09-04,49.99,2.6746,1865863.0,97.454
2019-09-05,50.84,2.6635999999999997,3624927.0,97.454
2019-09-06,50.73,2.7211,3445390.0,97.454
2019-09-08,50.73,2.7211,3445390.0,96.469
2019-09-09,50.89,2.7208,6421849.0,96.469
2019-09-10,50.96,2.7082,3638495.0,96.469
2019-09-11,51.23,2.6769,6274115.0,96.469
2019-09-12,51.38,2.6907,4014555.0,96.469
2019-09-13,51.29,2.6846,3569369.0,96.469
2019-09-15,51.29,2.6846,3569369.0,93.21
2019-09-16,51.1,2.6467,2527631.0,93.21
2019-09-17,51.15,2.6665,4566945.0,93.21
2019-09-18,51.09,2.7687,1751862.0,93.21
2019-09-19,51.14,2.9579,2358548.0,93.21
2019-09-20,50.69,3.7509,6358067.0,93.21
2019-09-22,50.69,3.7509,6358067.0,91.212
2019-09-23,50.51,3.5188,2198374.0,91.212
2019-09-24,49.75,3.1606,5371164.0,91.212
2019-09-25,50.32,3.2543,2181590.0,91.212
2019-09-26,49.83,3.3039,1809960.0,91.212
2019-09-27,49.27,3.2343,1852969.0,91.212
2019-09-29,49.27,3.2343,1852969.0,92.057
2019-09-30,49.52,3.2561999999999998,2466625.0,92.057
2019-10-01,49.02,3.2347,2758916.0,92.057
2019-10-02,48.28,3.2644,4405531.0,92.057
2019-10-03,48.75,3.372,6945829.0,92.057
2019-10-04,49.41,3.2034,2080304.0,92.057
2019-10-06,49.41,3.2034,2080304.0,91.596
2019-10-07,49.41,3.2503,1365508.0,91.596
2019-10-08,48.61,3.3247999999999998,2442402.0,91.596
2019-10-09,48.9,3.3993,4078280.0,91.596
2019-10-10,49.18,3.4006,3104286.0,91.596
2019-10-11,49.76,3.3913,4104936.0,91.596
2019-10-13,49.76,3.3913,4104936.0,89.63
2019-10-14,49.65,3.3872,1246315.0,89.63
2019-10-15,50.5,3.3965,2115804.0,89.63
2019-10-16,50.59,1.8965999999999998,2308543.0,89.63
2019-10-17,50.89,1.6377000000000002,2047212.0,89.63
2019-10-18,50.3,1.6401,1958301.0,89.63
2019-10-20,50.3,1.6401,1958301.0,90.144
2019-10-21,50.6,1.6186,1429610.0,90.144
2019-10-22,50.11,1.4403000000000001,2433876.0,90.144
2019-10-23,50.5,1.439,1980691.0,90.144
2019-10-24,49.93,0.9703,2529501.0,90.144
2019-10-25,50.32,0.931,1215131.0,90.144
2019-10-27,50.32,0.931,1215131.0,90.127
2019-10-28,50.79,0.9282,2883909.0,90.127
2019-10-29,50.33,0.5133,1788727.0,90.127
2019-10-30,50.47,0.4807,3901457.0,90.127
2019-10-31,50.62,0.4831,4059965.0,90.127
2019-11-01,50.95,0.4873,3451286.0,90.127
2019-11-03,50.95,0.4873,3451286.0,90.351
2019-11-04,51.23,0.4917,4650494.0,90.351
2019-11-05,51.25,0.5127,1886958.0,90.351
2019-11-06,51.07,0.5132,2288286.0,90.351
2019-11-07,51.39,0.5484,1976291.0,90.351
2019-11-08,51.53,0.6089,1537567.0,90.351
2019-11-10,51.53,0.6089,1537567.0,87.188
2019-11-11,51.29,0.6104,1133405.0,87.188
2019-11-12,51.35,0.6142,6800967.0,87.188
2019-11-13,51.33,0.6166,1471417.0,87.188
2019-11-14,51.56,0.6182,1526834.0,87.188
2019-11-15,51.99,0.6185,2798538.0,87.188
2019-11-17,51.99,0.6185,2798538.0,91.677
2019-11-18,52.17,0.7448,1833092.0,91.677
2019-11-19,52.2,2.8061,2134392.0,91.677
2019-11-20,51.88,2.8451,2428605.0,91.677
2019-11-21,52.02,2.8502,1376251.0,91.677
2019-11-22,52.04,2.842,1625044.0,91.677
2019-11-24,52.04,2.842,1625044.0,90.987
2019-11-25,52.2,2.774,2358770.0,90.987
2019-11-26,52.37,2.7836,2146633.0,90.987
2019-11-27,52.74,2.7636,3416729.0,90.987
2019-11-29,52.56,2.7481999999999998,2396350.0,90.987
2019-12-01,52.56,2.7481999999999998,2396350.0,89.709
2019-12-02,52.06,2.7437,4503338.0,89.709
2019-12-03,51.96,2.7491,3963891.0,89.709
2019-12-04,52.23,2.7131,4519583.0,89.709
2019-12-05,52.45,2.6813000000000002,3688610.0,89.709
2019-12-06,52.76,2.682,5192737.0,89.709
2019-12-08,52.76,2.682,5192737.0,92.409
2019-12-09,52.56,2.6831,3016126.0,92.409
2019-12-10,52.38,2.7717,6432184.0,92.409
2019-12-11,52.62,2.7365,1436471.0,92.409
2019-12-12,52.68,2.7307,2866774.0,92.409
2019-12-13,52.56,2.7206,2834403.0,92.409
2019-12-15,52.56,2.7206,2834403.0,88.282
2019-12-16,53.08,2.7016999999999998,5780780.0,88.282
2019-12-17,53.03,2.6717,3222547.0,88.282
2019-12-18,53.39,2.7006,1862900.0,88.282
2019-12-19,53.88,2.827,1872998.0,88.282
2019-12-20,53.93,4.0885,3109747.0,88.282
2019-12-22,53.93,4.0885,3109747.0,87.674
2019-12-23,53.79,4.3239,3248619.0,87.674
2019-12-24,53.78,2.6849,891174.0,87.674
2019-12-26,54.19,2.6652,830231.0,87.674
2019-12-27,54.09,2.7893,3205061.0,87.674
2019-12-29,54.09,2.7893,3205061.0,87.714
2019-12-30,53.53,1.7216,2141308.0,87.714
2019-12-31,53.63,1.7137,2050095.0,87.714
