ticker,XLV US Equity,XLV US Equity,XLV US Equity,XLV US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-03-06,90.3,1.2711000000000001,11662385.0,79.978
2019-03-07,89.59,1.2894999999999999,14431013.0,79.978
2019-03-08,89.4,1.2868,11531179.0,79.978
2019-03-10,89.4,1.2868,11531179.0,79.825
2019-03-11,90.42,1.1553,9694373.0,79.825
2019-03-12,91.08,1.1831,8981596.0,79.825
2019-03-13,92.06,1.139,10098311.0,79.825
2019-03-14,91.91,1.1077,9283753.0,79.825
2019-03-15,91.99,1.3256000000000001,10219428.0,79.825
2019-03-17,91.99,1.3256000000000001,10219428.0,79.222
2019-03-18,91.85,1.2349999999999999,7183529.0,79.222
2019-03-19,92.58,1.1825,11308845.0,79.222
2019-03-20,91.94,1.2075,11123700.0,79.222
2019-03-21,92.3,1.3825,7398197.0,79.222
2019-03-22,90.62,1.3831,12162589.0,79.222
2019-03-24,90.62,1.3831,12162589.0,78.113
2019-03-25,90.57,1.2972000000000001,9893341.0,78.113
2019-03-26,91.19,1.1663000000000001,8107248.0,78.113
2019-03-27,90.43,1.1359,10817460.0,78.113
2019-03-28,90.66,1.1262,6726871.0,78.113
2019-03-29,91.75,1.1869,10120891.0,78.113
2019-03-31,91.75,1.1869,10120891.0,77.76
2019-04-01,91.89,1.233,9082046.0,77.76
2019-04-02,91.68,1.1431,7002204.0,77.76
2019-04-03,91.56,1.1456,7398696.0,77.76
2019-04-04,91.37,1.1423,9212386.0,77.76
2019-04-05,92.0,1.2048,6262046.0,77.76
2019-04-07,92.0,1.2048,6262046.0,79.386
2019-04-08,91.98,1.2388,5961216.0,79.386
2019-04-09,91.74,1.2245,7207595.0,79.386
2019-04-10,91.77,1.2245,5433511.0,79.386
2019-04-11,90.64,1.2406,8534189.0,79.386
2019-04-12,89.81,1.2810000000000001,11659326.0,79.386
2019-04-14,89.81,1.2810000000000001,11659326.0,80.239
2019-04-15,90.17,1.2854,7921955.0,80.239
