ticker,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-02-01,13.57,18.53,432.1,12.8132,1.4062000000000001,2.2519,11.5,7.8044
2019-02-04,13.65,18.53,433.72,12.8611,1.4115,2.2603,11.46,7.7754
2019-02-05,13.54,18.53,433.1,12.8428,1.4095,2.2571,11.47,7.7865
2019-02-06,13.35,18.53,431.92,12.808,1.4056,2.251,11.5,7.8076
2019-02-07,13.26,18.53,427.88,12.6886,1.3925,2.23,11.61,7.8811
2019-02-08,13.28,18.53,425.53,12.619,1.3849,2.2177,11.68,7.9246
2019-02-11,13.24,18.53,426.6,12.6505,1.3885,2.2233,11.65,7.9048
2019-02-12,13.24,18.53,433.26,12.8479,1.4102000000000001,2.258,11.47,7.7834
2019-02-13,13.22,18.53,434.12,12.9174,1.413,2.2624,11.44,7.7415
2019-02-14,13.18,18.53,429.09,12.7677,1.3966,2.2362,11.56,7.8322
2019-02-15,13.12,18.53,437.75,13.0251,1.4248,2.2813,11.33,7.6775
2019-02-18,13.12,18.53,437.75,13.0251,1.4248,2.2813,11.33,7.6775
2019-02-19,13.35,18.53,438.59,13.0502,1.4275,2.2857,11.31,7.6627
2019-02-20,49.04,18.53,441.13,13.1261,1.4358,2.299,11.24,7.6184
2019-02-21,49.12,18.53,439.16,13.0678,1.4294,2.2888,11.29,7.6524
2019-02-22,46.04,18.53,438.13,13.0373,1.426,2.2834,11.32,7.6703
2019-02-25,45.19,18.53,439.97,13.0921,1.432,2.293,11.27,7.6382
2019-02-26,44.84,18.53,438.93,13.061,1.4287,2.2876,11.3,7.6564
2019-02-27,43.24,18.53,440.49,13.1075,1.4337,2.2957,11.26,7.6292
2019-02-28,42.67,18.52,439.26,13.071,1.4296,2.2893,11.29,7.6505
2019-03-01,43.5,18.52,441.64,13.1416,1.4374,2.3017,11.23,7.6094
2019-03-04,40.86,18.52,438.91,13.0608,1.4285,2.2876,11.3,7.6565
2019-03-05,41.53,18.52,437.48,13.0184,1.4238,2.2801,11.33,7.6814
2019-03-06,40.6,18.44,434.36,12.9381,1.4137,2.2639,11.28,7.7291
2019-03-07,42.07,18.44,429.74,12.801,1.3986,2.2399,11.4,7.8119
2019-03-08,42.17,18.44,429.74,12.801,1.3986,2.2399,11.4,7.8119
2019-03-11,43.19,18.44,433.99,12.9275,1.4125,2.262,11.29,7.7354
2019-03-12,43.72,18.44,434.77,12.9506,1.415,2.266,11.27,7.7217
2019-03-13,43.68,18.44,437.94,13.0448,1.4253,2.2824999999999998,11.19,7.6659
2019-03-14,42.41,18.44,439.74,13.0987,1.4312,2.292,11.15,7.6343
2019-03-15,47.74,18.44,442.54,13.1823,1.4403000000000001,2.3066,11.08,7.5859
2019-03-18,51.22,18.43,447.08,13.3422,1.4578,2.3326000000000002,10.95,7.495
2019-03-19,51.34,18.43,443.66,13.2402,1.4466,2.3147,11.03,7.5527999999999995
