ticker,XLF US Equity,XLF US Equity,XLF US Equity,XLF US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-03-06,26.25,2.9523,43158887.0,73.764
2019-03-07,25.98,2.9359,62622140.0,73.764
2019-03-08,25.97,2.9955,55826434.0,73.764
2019-03-10,25.97,2.9955,55826434.0,74.306
2019-03-11,26.24,3.0029,63343530.0,74.306
2019-03-12,26.3,3.0813,32521130.0,74.306
2019-03-13,26.48,2.9157,42817546.0,74.306
2019-03-14,26.58,2.6874000000000002,37665726.0,74.306
2019-03-15,26.63,2.9918,70020432.0,74.306
2019-03-17,26.63,2.9918,70020432.0,72.478
2019-03-18,26.9,3.0196,43980696.0,72.478
2019-03-19,26.69,2.7881,45029262.0,72.478
2019-03-20,26.14,2.5392,65860286.0,72.478
2019-03-21,26.06,2.6124,104914052.0,72.478
2019-03-22,25.34,2.5984,121856178.0,72.478
2019-03-24,25.34,2.5984,121856178.0,73.331
2019-03-25,25.23,2.5328,72835604.0,73.331
2019-03-26,25.53,2.5057,51171543.0,73.331
2019-03-27,25.42,2.4521,73148342.0,73.331
2019-03-28,25.64,2.3552,52089324.0,73.331
2019-03-29,25.71,2.2416,50234396.0,73.331
2019-03-31,25.71,2.2416,50234396.0,78.291
2019-04-01,26.34,1.8464,62485288.0,78.291
2019-04-02,26.32,1.6669,41002479.0,78.291
2019-04-03,26.4,1.6242999999999999,52030863.0,78.291
2019-04-04,26.56,1.6902,54378854.0,78.291
2019-04-05,26.6,1.4104,37088792.0,78.291
2019-04-07,26.6,1.4104,37088792.0,75.094
2019-04-08,26.63,1.4172,34998006.0,75.094
2019-04-09,26.41,1.4192,65954762.0,75.094
2019-04-10,26.49,1.383,48232806.0,75.094
2019-04-11,26.65,1.5005,62205014.0,75.094
2019-04-12,27.14,1.4545,84627607.0,75.094
2019-04-14,27.14,1.4545,84627607.0,72.318
2019-04-15,26.97,1.45,40030367.0,72.318
2019-04-16,27.35,1.4268,56093380.0,72.318
2019-04-17,27.42,1.4257,58833989.0,72.318
2019-04-18,27.34,1.3938,52495728.0,72.318
2019-04-21,27.34,1.3938,52495728.0,72.178
2019-04-22,27.26,1.6195,39324122.0,72.178
2019-04-23,27.43,1.509,54250320.0,72.178
2019-04-24,27.4,1.4986,39505227.0,72.178
