ticker,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-31,8.46,34.48,603.74,16.7086,4.7217,1.6366,4.2,5.9849
2019-02-01,8.43,34.48,604.94,16.7419,4.7311,1.6398000000000001,4.19,5.9731
2019-02-04,8.47,34.48,612.79,16.9591,4.7925,1.6611,4.14,5.8965
2019-02-05,8.36,34.48,618.15,17.1074,4.8344000000000005,1.6756,4.1,5.8454
2019-02-06,8.37,34.48,618.04,17.1044,4.8335,1.6753,4.11,5.8464
2019-02-07,8.37,34.48,613.43,16.9768,4.7975,1.6627999999999998,4.14,5.8904
2019-02-08,8.39,34.48,614.16,16.997,4.8032,1.6648,4.13,5.8834
2019-02-11,8.29,34.48,617.56,17.0911,4.8298,1.674,4.11,5.851
2019-02-12,8.29,34.48,627.18,17.3574,4.905,1.7001,4.05,5.7612
2019-02-13,8.23,34.48,631.15,17.4672,4.9361,1.7109,4.02,5.725
2019-02-14,8.25,34.48,627.44,17.3645,4.9071,1.7008,4.04,5.7589
2019-02-15,8.23,34.48,635.82,17.5965,4.9726,1.7235,3.99,5.683
2019-02-18,8.23,34.48,635.82,17.5965,4.9726,1.7235,3.99,5.683
2019-02-19,8.15,34.48,635.37,17.584,4.9691,1.7223000000000002,3.99,5.687
2019-02-20,8.19,34.48,638.47,17.6698,4.9933,1.7307000000000001,3.9699999999999998,5.6594
2019-02-21,8.19,34.48,635.85,17.5973,4.9728,1.7236,3.99,5.6827
2019-02-22,8.18,34.48,639.89,17.7091,5.0044,1.7346,3.9699999999999998,5.6468
2019-02-25,8.1,34.48,642.33,17.7766,5.0235,1.7412,3.95,5.6254
2019-02-26,8.11,34.5,640.44,17.6999,4.9935,1.7332,3.9699999999999998,5.6497
2019-02-27,8.11,34.54,642.73,17.7679,4.9973,1.7391,3.95,5.6281
2019-02-28,8.16,34.57,640.33,17.7147,4.9684,1.7313,4.03,5.645
2019-03-01,8.18,34.57,640.88,17.7299,4.9727,1.7327,4.03,5.6402
2019-03-04,8.15,34.57,637.82,17.6453,4.9489,1.7245,4.05,5.6672
2019-03-05,8.2,34.57,633.73,17.5321,4.9172,1.7134,4.08,5.7038
2019-03-06,8.3,34.57,627.76,17.367,4.8709,1.6973,4.11,5.7581
2019-03-07,8.22,34.57,624.08,17.2652,4.8423,1.6873,4.14,5.792
2019-03-08,8.2,34.57,622.52,17.222,4.8302,1.6831,4.15,5.8065
2019-03-11,8.15,34.57,628.06,17.3753,4.8732,1.6981000000000002,4.11,5.7553
2019-03-12,8.13,34.57,622.34,17.217,4.8288,1.6825999999999999,4.15,5.8082
2019-03-13,8.1,34.57,628.04,17.3747,4.873,1.698,4.11,5.7555
2019-03-14,8.04,34.57,625.86,17.3144,4.8561,1.6921,4.13,5.7755
2019-03-15,8.08,34.57,624.31,17.2715,4.8441,1.6879,4.14,5.7899
2019-03-18,9.68,34.56,629.74,17.4399,4.888,1.7024,4.09,5.734
2019-03-19,9.67,34.56,627.14,17.3679,4.8678,1.6953,4.11,5.7577
2019-03-20,9.67,34.56,623.19,17.2586,4.8370999999999995,1.6846999999999999,4.14,5.7942
2019-03-21,9.67,34.56,629.09,17.4219,4.8829,1.7006000000000001,4.1,5.7399000000000004
2019-03-22,9.66,34.56,614.81,17.0265,4.7721,1.662,4.19,5.8732
2019-03-25,9.68,34.56,616.31,17.0683,4.7827,1.666,4.18,5.8588000000000005
2019-03-26,9.67,34.56,620.65,17.1885,4.8164,1.6778,4.15,5.8178
2019-03-27,9.67,34.56,621.3,17.2065,4.8215,1.6795,4.15,5.8118
2019-03-28,9.67,34.56,626.06,17.3383,4.8584,1.6924000000000001,4.12,5.7676
2019-03-29,9.68,34.66,632.36,17.5081,4.9043,1.7085,4.09,5.7116
2019-04-01,9.64,35.8,645.46,17.5965,4.8529,1.7201,4.02,5.6829
2019-04-02,9.65,35.8,645.05,17.5853,4.8498,1.7189999999999999,4.02,5.6866
