ticker,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-31,-0.62,38.82,277.67,18.7185,2.0484,2.2858,-2.84,5.3423
2019-02-01,-0.62,38.82,276.84,18.5655,2.0472,2.2796,-2.8,5.3863
2019-02-04,-0.63,38.82,277.42,18.6044,2.0513,2.2843999999999998,-2.79,5.3751
2019-02-05,-0.63,38.82,277.75,18.6266,2.0537,2.2871,-2.79,5.3687000000000005
2019-02-06,-0.63,38.82,277.47,18.6078,2.0517,2.2848,-2.79,5.3741
2019-02-07,-0.62,38.82,281.0,18.8445,2.0778,2.3139,-2.76,5.3065999999999995
2019-02-08,-0.62,38.82,282.38,18.9371,2.088,2.3252,-2.74,5.2807
2019-02-11,-0.63,38.82,282.14,18.921,2.0862,2.3233,-2.74,5.2851
2019-02-12,-0.63,38.82,282.63,18.9538,2.0898,2.3273,-2.74,5.276
2019-02-13,-0.63,38.82,281.77,18.8961,2.0835,2.3202,-2.75,5.2921
2019-02-14,-0.62,38.82,280.89,18.8371,2.0769,2.313,-2.76,5.3087
2019-02-15,-0.63,38.73,281.68,18.9502,2.0831,2.3312,-2.76,5.277
2019-02-18,-0.63,38.73,281.68,18.9502,2.0831,2.3312,-2.76,5.277
2019-02-19,-0.64,38.73,283.2,19.0525,2.0943,2.3438,-2.75,5.2487
2019-02-20,-0.64,38.73,284.46,19.1372,2.1037,2.3542,-2.73,5.2254
2019-02-21,-0.64,38.73,286.59,19.2805,2.1194,2.3719,-2.71,5.1866
2019-02-22,-0.63,38.73,288.33,19.3976,2.1323,2.3863,-2.7,5.1553
2019-02-25,-0.64,38.73,286.47,19.2725,2.1185,2.3709,-2.71,5.1887
2019-02-26,-0.63,38.73,286.04,19.2435,2.1153,2.3673,-2.7199999999999998,5.1965
2019-02-27,-0.63,38.73,286.36,19.2651,2.1177,2.37,-2.7199999999999998,5.1907
2019-02-28,-0.64,38.73,287.53,19.3438,2.1264,2.3797,-2.7,5.1696
2019-03-01,-0.63,38.73,288.07,19.3801,2.1303,2.3841,-2.7,5.1599
2019-03-04,-0.64,38.73,288.68,19.4251,2.1349,2.3891999999999998,-2.69,5.148
2019-03-05,-0.64,38.73,288.19,19.3921,2.1312,2.3851,-2.7,5.1567
2019-03-06,-0.64,38.73,288.29,19.3989,2.132,2.3859,-2.7,5.1549
2019-03-07,-0.64,38.73,289.04,19.4493,2.1375,2.3922,-2.69,5.1416
2019-03-08,-0.64,38.73,290.08,19.5193,2.1452,2.4008,-2.68,5.1231
2019-03-11,-0.64,38.73,292.2,19.662,2.1609,2.4183,-2.66,5.086
2019-03-12,-0.64,38.73,294.0,19.7831,2.1742,2.4332,-2.64,5.0548
2019-03-13,-0.64,38.73,294.43,19.812,2.1774,2.4368,-2.64,5.0474
2019-03-14,-0.64,38.73,294.03,19.7851,2.1744,2.4334,-2.64,5.0543
2019-03-15,-0.65,38.73,295.41,19.878,2.1846,2.4449,-2.63,5.0307
2019-03-18,-0.62,38.76,294.2,19.7624,2.1742,2.4356,-2.66,5.0601
2019-03-19,-0.63,38.76,290.73,19.5293,2.1486,2.4069,-2.69,5.1205
2019-03-20,-0.63,38.7,291.56,19.5393,2.1549,2.4168,-2.68,5.1179
2019-03-21,-0.62,38.7,294.63,19.7451,2.1776,2.4422,-2.65,5.0646
2019-03-22,-0.62,38.7,296.66,19.8811,2.1926,2.459,-2.63,5.0299
2019-03-25,-2.01,38.7,297.01,19.9046,2.1952,2.4619,-2.63,5.024
2019-03-26,-2.02,38.7,299.08,20.0433,2.2105,2.4791,-2.61,4.9892
2019-03-27,-2.02,38.7,297.08,19.9093,2.1957,2.4625,-2.63,5.0228
2019-03-28,-2.01,38.7,293.38,19.6613,2.1683,2.4318,-2.66,5.0861
2019-03-29,-2.13,38.7,295.15,19.7799,2.1814,2.4465,-2.64,5.0556
2019-04-01,7.03,39.65,293.05,19.6178,2.1221,2.4411,-2.63,5.0974
2019-04-02,6.95,39.65,293.37,19.6392,2.1245,2.4436999999999998,-2.62,5.0919
2019-04-03,6.99,39.65,292.92,19.6091,2.1212,2.44,-2.63,5.0997
2019-04-04,6.85,39.65,291.77,19.5321,2.1129,2.4304,-2.64,5.1198
2019-04-05,3.35,39.65,294.7,19.7282,2.1341,2.4548,-2.61,5.0689
2019-04-08,3.36,39.65,292.56,19.585,2.1186,2.437,-2.63,5.106
2019-04-09,3.35,39.65,293.33,19.6369,2.1242,2.4434,-2.62,5.0925
2019-04-10,3.34,39.65,292.22,19.5655,2.1161,2.4342,-2.63,5.111
2019-04-11,3.34,39.65,293.83,19.6507,2.1278,2.4477,-2.62,5.0889
2019-04-12,3.35,39.65,295.3,19.749,2.1384,2.4599,-2.61,5.0636
2019-04-15,4.38,39.7,295.31,19.7501,2.1385,2.4603,-2.61,5.0633
2019-04-16,4.35,39.7,291.21,19.4759,2.1088,2.4262,-2.64,5.1346
2019-04-17,4.34,39.7,290.59,19.4344,2.1043,2.421,-2.65,5.1455
2019-04-18,4.29,39.7,290.64,19.4377,2.1047,2.4214,-2.65,5.1446
2019-04-19,4.29,39.7,290.64,19.4377,2.1047,2.4214,-2.65,5.1446
2019-04-22,4.39,39.7,290.31,19.4157,2.1023,2.4187,-2.65,5.1505
2019-04-23,4.4,39.7,291.39,19.4879,2.1101,2.4277,-2.64,5.1314
2019-04-24,4.49,39.7,292.98,19.5942,2.1216,2.4409,-2.54,5.1035
2019-04-25,4.49,39.7,294.25,19.6792,2.1308,2.4515000000000002,-2.51,5.0815
2019-04-26,4.49,39.7,294.72,19.7106,2.1342,2.4554,-2.5,5.0734
2019-04-29,4.49,39.7,292.85,19.5855,2.1207,2.4398,-2.52,5.1058
2019-04-30,4.49,39.7,297.75,19.9133,2.1562,2.4806,-2.48,5.0218
2019-05-01,4.17,39.7,294.58,19.7012,2.1332,2.4542,-2.5,5.0758
2019-05-02,4.29,39.7,293.75,19.6457,2.1272,2.4473,-2.51,5.0902
2019-05-03,4.28,39.7,295.65,19.7728,2.141,2.4632,-2.49,5.0575
2019-05-06,4.28,39.7,293.76,19.6464,2.1273,2.4474,-2.51,5.09
2019-05-07,4.28,39.7,292.84,19.5849,2.1206,2.4397,-2.52,5.106
2019-05-08,4.28,39.7,288.8,19.3147,2.0914,2.4061,-2.55,5.1774000000000004
2019-05-09,4.29,39.7,288.54,19.2973,2.0895,2.4039,-2.56,5.1821
2019-05-10,4.29,39.7,293.54,19.6317,2.1257,2.4455999999999998,-2.51,5.0938
2019-05-13,4.29,39.7,296.79,19.849,2.1492,2.4727,-2.48,5.038
2019-05-14,4.28,39.7,294.22,19.6772,2.1306,2.4512,-2.51,5.082
2019-05-15,4.28,39.7,293.82,19.6504,2.1277,2.4479,-2.51,5.089
2019-05-16,4.27,39.7,295.53,19.7648,2.1401,2.4622,-2.49,5.0595
2019-05-17,4.27,39.7,296.96,19.8604,2.1505,2.4741,-2.48,5.0351
2019-05-20,4.27,39.7,297.46,19.8939,2.1541,2.4782,-2.48,5.0267
2019-05-21,4.27,39.7,297.64,19.9059,2.1554,2.4797000000000002,-2.48,5.0236
2019-05-22,4.27,39.7,300.07,20.0684,2.173,2.5,-2.46,4.983
2019-05-23,4.27,39.7,302.53,20.2329,2.1908,2.5205,-2.44,4.9424
2019-05-24,4.31,39.7,301.9,20.1908,2.1862,2.5152,-2.44,4.9528
2019-05-27,4.31,39.7,301.9,20.1908,2.1862,2.5152,-2.44,4.9528
2019-05-28,4.31,39.7,297.03,19.865099999999998,2.151,2.4747,-2.48,5.034
2019-05-29,4.3,39.7,293.05,19.5989,2.1221,2.4415,-2.52,5.1023
2019-05-30,4.3,39.7,292.65,19.5722,2.1192,2.4382,-2.52,5.1093
2019-05-31,4.32,39.7,293.95,19.6591,2.1287,2.449,-2.51,5.0867
2019-06-03,4.32,39.7,296.99,19.8624,2.1507,2.4743,-2.48,5.0346
2019-06-04,4.32,39.7,297.11,19.8704,2.1515,2.4753,-2.48,5.0326
2019-06-05,4.31,39.7,303.47,20.2958,2.1976,2.5282999999999998,-2.43,4.9271
2019-06-06,4.31,39.7,304.8,20.3847,2.2072,2.5394,-2.42,4.9056
2019-06-07,4.31,39.7,302.45,20.2276,2.1902,2.5198,-2.44,4.9437
