ticker,XLP US Equity,XLP US Equity,XLP US Equity,XLP US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-03-06,54.03,1.7433,12001072.0,80.426
2019-03-07,53.68,1.752,14336056.0,80.426
2019-03-08,53.71,1.6151,11909335.0,80.426
2019-03-10,53.71,1.6151,11909335.0,79.64
2019-03-11,54.41,1.631,10519247.0,79.64
2019-03-12,54.43,1.5834000000000001,10841806.0,79.64
2019-03-13,54.74,1.6932,11135269.0,79.64
2019-03-14,54.69,1.5768,8449574.0,79.64
2019-03-15,54.7,1.8649,21846923.0,79.64
2019-03-17,54.7,1.8649,21846923.0,75.889
2019-03-18,54.78,1.7525,8103717.0,75.889
2019-03-19,54.74,1.7915,13359700.0,75.889
2019-03-20,54.51,2.0159,19832747.0,75.889
2019-03-21,55.15,1.7397,12699410.0,75.889
2019-03-22,55.08,1.7509000000000001,21007305.0,75.889
2019-03-24,55.08,1.7509000000000001,21007305.0,77.308
2019-03-25,55.19,1.9302000000000001,12538026.0,77.308
2019-03-26,55.66,1.8916,12808701.0,77.308
2019-03-27,55.47,2.0369,12740361.0,77.308
2019-03-28,55.74,1.8941,11920928.0,77.308
2019-03-29,56.11,1.9301,13888766.0,77.308
2019-03-31,56.11,1.9301,13888766.0,79.278
2019-04-01,55.92,2.0326,13799445.0,79.278
2019-04-02,55.46,2.1256,13964969.0,79.278
2019-04-03,55.19,2.2494,18616465.0,79.278
2019-04-04,55.4,2.2536,10671335.0,79.278
2019-04-05,55.59,2.1352,9045198.0,79.278
2019-04-07,55.59,2.1352,9045198.0,77.704
2019-04-08,55.82,2.3112,6136908.0,77.704
2019-04-09,55.75,2.2753,12062346.0,77.704
2019-04-10,55.91,2.3572,7060932.0,77.704
2019-04-11,56.02,2.2757,6444919.0,77.704
2019-04-12,56.2,2.2045,7635666.0,77.704
2019-04-14,56.2,2.2045,7635666.0,76.372
2019-04-15,56.53,2.4165,6504984.0,76.372
2019-04-16,56.54,2.5841,9345071.0,76.372
2019-04-17,56.82,2.8109,12720197.0,76.372
2019-04-18,56.87,2.5818,10622183.0,76.372
2019-04-21,56.87,2.5818,10622183.0,78.11
2019-04-22,56.89,2.8742,12432495.0,78.11
2019-04-23,56.71,1.9874,20408437.0,78.11
2019-04-24,56.83,1.9827,8221930.0,78.11
2019-04-25,56.47,1.9686,9992063.0,78.11
2019-04-26,56.98,1.9604,8405955.0,78.11
2019-04-28,56.98,1.9604,8405955.0,78.7
2019-04-29,57.05,2.0558,7211008.0,78.7
2019-04-30,57.71,1.6097000000000001,15965938.0,78.7
2019-05-01,57.0,1.9155,11992679.0,78.7
2019-05-02,56.98,1.9216,13925855.0,78.7
2019-05-03,57.41,1.9865,13801294.0,78.7
2019-05-05,57.41,1.9865,13801294.0,80.807
2019-05-06,57.32,2.0137,10100265.0,80.807
2019-05-07,56.75,1.9914,20115511.0,80.807
2019-05-08,56.74,1.9891,11940177.0,80.807
2019-05-09,56.62,1.9123,23531637.0,80.807
2019-05-10,57.31,1.8787,14029635.0,80.807
2019-05-12,57.31,1.8787,14029635.0,79.877
2019-05-13,56.77,1.964,13081752.0,79.877
2019-05-14,57.04,1.7146,16497829.0,79.877
2019-05-15,57.49,1.7067999999999999,9681802.0,79.877
2019-05-16,57.94,1.6369,12859911.0,79.877
2019-05-17,57.75,1.7135,15458746.0,79.877
2019-05-19,57.75,1.7135,15458746.0,84.935
2019-05-20,57.61,2.2113,9496806.0,84.935
2019-05-21,57.49,1.5586,8124122.0,84.935
2019-05-22,57.75,1.5158,11102018.0,84.935
2019-05-23,57.73,1.5697,17398019.0,84.935
2019-05-24,57.52,2.2298,9530839.0,84.935
2019-05-26,57.52,2.2298,9530839.0,86.32
2019-05-28,56.58,2.2927,14043124.0,86.32
2019-05-29,56.17,2.0701,11455050.0,86.32
2019-05-30,56.41,1.9944,9770151.0,86.32
2019-05-31,55.61,1.96,13450786.0,86.32
2019-06-02,55.61,1.96,13450786.0,86.883
2019-06-03,56.31,1.8719999999999999,17060649.0,86.883
2019-06-04,56.82,2.0537,16547017.0,86.883
2019-06-05,57.47,2.0129,15069734.0,86.883
2019-06-06,58.07,2.0375,20769577.0,86.883
2019-06-07,58.63,2.4196,18860802.0,86.883
2019-06-09,58.63,2.4196,18860802.0,85.164
2019-06-10,58.65,2.9025,15341778.0,85.164
2019-06-11,58.84,2.4784,18109721.0,85.164
2019-06-12,58.93,2.5385999999999997,10921154.0,85.164
